stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord
  3-4,78.98,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.51,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.23,0,0,0,0,0
 14-21,0,0,4.15,0,0,0,0,1.97,0,0,0,2.99,2.73
 24-34,0,0,0,0,1.54,0,0,3.12,2,0.82,0,0,2.37
 36-46,0,0,0,1.81,0,0,0,3.59,3.95,0,7.46,5.24,5.5
 48-58,0,0.61,0,0,0,0.4,0,12.75,6.16,0,0,0,1.63
 60-70,0,0,0,0,0,0.6,0,0,1.43,0,0,0,1.27
 72-82,0,0,0,0,0,0,0.69,2.87,2.48,4.29,0,0,1.85
 84-94,0,0,0,0,2.18,0,0,0,1.32,0,0,0,0
 96-106,0,0,0,0,7.01,0,0,0,6.28,5.78,0,0,2.89
108-118,0,0,0,0.81,1.58,0,0,0,0.64,2.67,0,0.78,0
120,0,0,0,0,2.95,0,0,0,0,0,0,5.04,0
