stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,8.71,259.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.11,0,0,0,8.05,0,0,0,0,0,0,0,0
  7-9,3.28,3.29,3.43,0,0,23.45,0,0,0,0,0,0,0,0,0,0,188.74,0,0,0,58.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.32,0,0,0,6.05,0,0,0,0,0,0,56.56,8.71,0,0,40.41,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,7.17,0,1.03,0,0,1.21,0,0,0,0,0.82,0,4.45,9.67,1.48,0,1.9,0,1.87,4.43,0,1.99,0,3.28,0,0
 24-34,0,0,0,0,0.66,2.13,0,0.64,0,0,0,0,0,1.69,0,0.67,13.34,0,0,0,0,0.91,0,0.75,0,0,2.01,0.87,0
 36-46,0,0,0,3.14,0,0.68,0,0,0,0.59,0,0,0,0.81,0,0,19.16,0,0,0,0,2.9,0,0,0,0.84,2.45,0,0
 48-58,0,0,0,0.41,0,2.25,0,1.87,8.33,0,0,0,0,0.8,0,0.53,31.77,0,0,0,0,0.39,0,0,0,0,10.72,0,0
 60-70,0,0,0,4.56,0,15.11,0,1.14,0,0,2.54,0,0,2.14,0,0,23.79,0,1.42,0,0,1.56,0,0,0,0,2.38,0,0
 72-82,0,0,0,0,0,6.38,0,1.96,0.51,0,0,0,7.17,5.86,0,0,4.8,0,0,0.83,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.9,0,9.19,0,0,1.37,0.6,0,0,0,6.41,0.6,0,8.5,0,0,0,0,3.15,0,0.9,0,0,0,0,0
 96-106,0,0,0,3.19,0,18.95,0.93,0,2.27,0,0,0,0.6,0,0,0,20.46,2.6,0,0,0,2.88,0,0,0,0,4.48,0,2.2
108-118,0,0,0,3.34,0,4.36,0.5,0,4.75,0,0,0,0.56,1.51,0,1.74,25.11,0,0.53,0,0,4.43,0,0.54,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.52,0,0,4.16,3.25,5.79,0,1.91,12.23,0,0,0,0,2.37,0,0,0,0,0,0,0
