stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,60.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.8,0,0,0,0,0,0,0,0,25.08,0,0,0,0,0,0,0,0,0
 10-12,0,9.5,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,0,1.19,0,0,0,0,0,0,0,1.04,9.38,0,0,0,0,0.87,6.44,0,0,0
 24-34,0,0,0,0,0,0.66,0,0,0,0,0.68,0,0.99,27.41,0,0,0,0,0,4.12,0,0,0
 36-46,0,0,0,0,3.36,1.7,0,0,0,0,3.13,0,1.29,57.29,0.82,0,0,0,0,7,0,0,0
 48-58,0,0,0,0,14.93,1.51,0,0,0.47,0,3.37,0,0.92,66.5,0.39,0.78,0.5,0,0,17.09,0,1.34,0
 60-70,0,0,0,0,3.48,0,0,0.58,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,4.42
 72-82,0,0,0,0,20.07,3.09,0,0,0,0,3.71,0,0.68,32.66,0,0,0,0,0,2.77,0.52,1.28,0
 84-94,0,0,0,2.16,15.88,3.04,0,0,0,0,0.91,0.84,0,25.47,0,0,0,5.72,0,0,0,1.04,0
 96-106,0,0,0,0,10,0,0.83,0,0,0.92,0,0,0,8.65,0,0,0,2.25,0,3.16,0,0,0
108-118,0,0,0,1.1,34.64,1.06,0,0,0,0,2.87,0,0,15.2,0,0,0,1.59,0,0,0,0,0
120,0,0,0,0,27.89,2.92,0,0,0,0,0,0,0,28.51,0,0,0,0,0,0,0,0,0
