stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.07,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,2.77,6.57,2.26,0,0,0,0,0,0.91,0.82,0.87,17.94,0,0,1.22,0,0
 24-34,0,0,3.68,0,2.56,0,0,0,7.24,0,0,0,0,0,0.78,0,0,7.83,0,0,0.83,109.79,2.4,0,0,0,0.99,13.26,0,1.58,0,76.48,0,0,2.72,0,0
 36-46,0,0,0,50.74,9.48,0,1.35,0,6.73,0,0.76,0,0,0,0,0,0,13.04,0,1.42,3.63,232.73,0.97,3.16,0,0,0,13.97,0,0,0,88.49,0,0,13.29,0,1.74
 48-58,0,0,2.41,0,50.51,0,1.03,0,6.65,0,0,0.37,0,0,0,0.6,1.35,21.32,0,0,5.37,363.82,0,0.56,5.29,0,0.97,9.37,0,0.68,0,70.39,0,0,11.38,0,0
 60-70,0,0,0,0,352.03,3.58,0.68,0.68,36.08,0,0.59,1.85,0,0,0,0,1.56,52.22,0,22.11,7.71,580.14,0,1.1,0.95,0,0,13.39,0,0,0,75.27,0,0.9,16.92,3.22,5.08
 72-82,0,0,4.33,0,496.52,0,1.86,1.41,61.75,0.53,0,0.82,0,6.59,2.91,2.79,0.5,71.41,0,4.9,3.82,768.1,0,1.51,0.5,0,0,0.61,0,0.73,0,114.88,0,3.95,24.72,2.16,9.7
 84-94,0,0,3.16,0,345.27,9.11,1.52,0,88.68,0,0,5.71,0,0,0.83,0,3.04,36.87,0,0.92,4.01,552.74,0,2.2,0,0,0,7.9,0,0,0,75.63,0,0.98,35.52,9.24,6.26
 96-106,1.62,0,3.42,3.57,371.1,0,0.83,0,75.92,0,0,0,0.62,0,5.4,2.89,0,31.75,1.95,2.55,2.91,651.48,0,0,0.65,0,4.03,5.22,0,0,0,55.22,0,0,31.11,6.65,0
108-118,0,0,11.55,0,261.42,0.58,5.88,0.53,37.54,0.64,0,0,1.33,0.66,0,0,3.1,47.02,0.45,2.38,4.98,591.12,0.56,0.45,2.62,0,10.43,3.13,0,0,0,38.35,0.71,2.68,24.99,4.07,0
120,0,0,9.94,0,248.34,0,3,0,82.98,0,0,8.94,0,0,2.98,1.4,0,37.61,1.65,15.97,0,781.38,0,0,8.31,0,0,6.98,0,1.87,0,62.17,0,0,36.73,13,0
