stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0
 14-21,1.32,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,3.13,0,0,0,0,0,0.9,0,5.63,0,0,0,0,0
 24-34,0.66,5.53,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,1.51,48.87,8.44,0,0,0,0,0,0,16.58,0,0,0,0,0
 36-46,0,18.35,0,0,6.73,0,0,0,0.69,0,0,0,0,0,3.34,0,5.2,0,0,0,134.47,4.25,0,0,0,0,0,0,14.85,0,0,0,0,0
 48-58,0.44,3.96,0,0,29.43,0,0,0,6.92,0,0,0,0,0,0,0,4.16,0,0,0.97,201.81,2.71,2.08,0,0,0,0,0,40.28,0,0,0,0,0
 60-70,6.75,2.38,1.15,0,66.71,0,0,4.58,1.19,0,4.08,0,0,0,0,0,14.76,0,0,0,341.31,2.45,5.68,0,0,8.36,0,0,43.18,0.81,0,3.52,0,0
 72-82,4.01,2.6,0.57,0,193.98,4.43,0,0,20.9,2.13,0,0,0,0,1.74,3.93,6.14,0,0,0,475.18,5.07,5.47,0,0,0,0,0,32.61,0,0,2.66,0,4.87
 84-94,2.45,8.94,0,1.39,131.44,0,0.66,0.87,14.29,3.42,0,0,1.91,0,0.65,0,3.01,0,0,0,334.8,1.78,6.29,0,0,2.29,0,0,24.55,1.2,0,0,0,10.49
 96-106,9.97,7.19,12.57,0,209.65,0,1.32,0,16.72,2.23,0,0.68,0.94,0,4.91,13.16,3.94,4.41,1.02,0,347.43,4.64,7.49,0,0.81,3.71,0,0,8.02,10.64,1.93,1.31,0,3.32
108-118,2.89,19.62,0,8.46,258.7,0,3.51,0.98,23.46,12.62,0,0,0,0.48,0,0,6.1,0,0,2.91,389.25,6.64,14.35,0,0,0,0,0,7.33,5.09,0,0,0,0
120,3.99,43.33,0,1.06,299.47,0,0,0,7.63,1.61,0,0,3.53,0,1.74,0,13.68,0,9.54,0,953.05,0,28.5,0,0,20.06,0,2.39,4.84,5.98,0,0,22.9,0
