stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,217.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48,0,0,0,0,0,0,0
  5-6,74.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11.7,0,0,0,0,33.2,0,0,3.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.96,0,0,0,0,0,0,0,0,0,27.8,0,0,7.9,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.85,2.08,3.47,0,0,0,0,1.23,1,0,0,0.95,0,0
 24-34,0,0.66,0,0.93,0,0,0,0,0,0,0,0.84,0,6.63,7.26,0,0,0,0,0,0,0.69,0,0,0,0
 36-46,0,1.4,1.01,1.73,0,0,0,0,0,0,0,0,0,2.92,3.54,0,0,0,0,0,0,4.44,0,0,0,0
 48-58,0,0,0,4.43,0.4,0,0,0,0,0,0,11.93,0,2.98,1.07,0.7,0,0,0,0,0,0.61,0,0,0,0
 60-70,0,1.46,0.77,3.27,0,3.28,0,0,0,0,0,40.32,0.63,13.46,7.24,3.17,0,0.97,0,0,0,0,0,2.19,0,0
 72-82,0,3.22,3.01,6.85,2.5,0.55,0.84,0,0,0,0,92.69,3.27,9.25,11.07,0,0,0,0,0,0,5.15,0,0,0,0
 84-94,0,0,0.64,2.09,0,0.64,1.61,0,0,0,0,84.44,0,9.74,5.05,1.19,0,0,0,0,0,0,0.66,0,0,7.74
 96-106,0,0,2.12,1.66,1.68,0,0,0,0,0.78,0,85.38,0,20.33,13.04,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,16.34,2.88,0.53,0,0,0.91,0,0,0,91.99,0,9,9.19,0,0,0,0,0,0,0,0,0,1.61,0
120,0,0,11.73,9.03,1.06,0,0,0,0,0,6.33,94.82,0,1.93,1.26,0,0,0,0,0,0,0,0,0,7.28,0
