stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,292.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.05,392.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.91,12.67,0,14.14,0,0,52.91,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,371.55,10.25,0,0,151.7,0,6.58,0,0,0,0,0,0,0,0,0
 10-12,0,14.3,0,3.13,0,5.14,21.24,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,480.74,3.39,0,0,181.57,0,0,3.03,0,10.16,0,3.51,0,0,0,0
 14-21,0,0,0,2.87,2.19,3.74,7.51,0,0,0.98,0,0,0,0,1.78,0,0,0,0,12.49,0,0,1.06,56.42,0,0,0.93,1.02,0,0,0,8.73,0,12.64,23.39,0,0,0,0
 24-34,0,0,0.62,0.59,0.61,0,10.42,0,0,3.68,0,0,3.58,0,1.41,1.05,0,0,0,9.72,0,0,3.19,161.65,0,0,0,0,0,6.56,0,0,0,1.22,39.52,0,0,4.84,0.79
 36-46,0,0,0,0,2.29,0,39.75,0,0.81,6.39,0,0,0,0,0,2.15,1.57,0,0,16.7,0,0,3.16,244.97,0,3.1,0,0,0,0,0,0,0,0,48.76,0,0,4.5,0
 48-58,0,0,0,0,0.37,0,42.19,0,1.39,13.64,0,0,0.51,0,0,3.92,0,0,1.4,18.22,0,0,6.58,214.88,0,2.27,1.57,0,0,0.45,0,0,0,0,38.85,0,0,0.82,0
 60-70,0,0,0,0,0,0,78.17,0,0,6.42,0,0,0,0,0,2.66,0.73,0,0,16.17,0,0,0,247.33,0,0,0.62,0,0,7.56,0,0,1.35,0,23.91,0,0.67,0.73,0
 72-82,0,0,0,0,4.58,0.68,97.49,2.49,1.28,8.27,0.82,0,0,0,0,0,0,3.49,0,21.6,0.77,0,0.49,144.44,0.73,0,0,0,0,3.42,0,0,0,0,22.85,0,0,4.72,3.27
 84-94,0,0,0,0,0.62,2.59,60.58,0,0,5.7,1.79,0,0,0.75,1.22,0,0.78,0,0.83,22.69,0,3.35,2.25,91.61,0,2.17,0,0,7.18,11.56,0,0,0.87,0,2.22,0,0,3.82,0
 96-106,0,0,0,0,0.78,15.72,55.39,0,0,29.93,0,0,0,0,0.99,0,0,0,0,28.32,1.56,2.15,1.65,77.7,0,2.1,3.19,0,0,8.32,0,0,0,0,8.89,0.61,0,5.55,0.68
108-118,0,0,0,0,0,5.15,16.27,1.58,0.53,21.97,4,0,1.04,1.08,0.47,0.82,0.76,0,0,22.37,2.25,1.63,0,137.29,0,2.5,3.55,0,2.78,4.12,0,0,0,0,2.19,1.13,4.53,1.24,7.71
120,0,0,0,0,4.34,0,51.23,0,0,0,0,0,0,1.19,0,0,0,0,0,37.76,0,5.9,2.23,148.2,0,0,0,0,0,6.37,0,0,0,0,6.87,0,0,7.57,0
