stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0.95,0,0,0,0,0,0,0,0,0,0,0,3.11,5.5,0,0,0,3.92,0,0
 24-34,0,0,0,0.68,0,0,0,0,0,0,0,1.64,0,7.21,0.8,0,0,0,0,2.58
 36-46,0,0,0.92,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0.64,2.55,0,0
 48-58,0,0,3.32,0,0.55,0,0,0,0,0,0,1.6,2.18,7.45,0,0,0,1.78,0,0.42
 60-70,0,0,17.31,0.96,0,0,0,0,0.62,0,0,9.25,0,2.09,0,0,0,0,0,0
 72-82,0,0,37.42,0,2.74,0,0,0,0,0.49,0,0.58,0,17.78,0,1.11,0,0,0,0
 84-94,0,0,24.27,0,9.1,0,0,0.58,0,0,1.11,12.03,0,2.79,0,0,0.73,0,0,1.24
 96-106,0,0,81.91,0,3.96,0,0.73,0,0,0,0,2.22,0.89,9.62,0,0,0,0,0.72,0
108-118,1.18,0.55,90.76,0,6.78,1.06,0,0,0,0,0,2.39,0.67,19.07,0.5,0,0.98,1.27,0,0
120,1.19,1.69,64.16,0,0,0,0,0,0,0,0,2.18,3.68,2.23,1.81,0,0,0,0,0
