stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.11,16.52,2.64,0,18.79,0,0,0,8.08,2,0,0,0,0,0,0,0,0.85,23.02,0,0,15.14,194.88,6.8,0,0,6.39,0,13.2,13.04,0.86,0.8,14.55,60.04,0,0,1.04,0,1.92
 24-34,1.29,0,23.06,0.84,0,37.82,0,2.67,0,11.67,0,0,1.3,0,3.42,0,0,0,0,31.4,0,0,22.32,464.23,0.6,5.33,8.47,0,0,4.02,0,0,0.99,2.8,94.8,0,0,22.39,0,0
 36-46,0,0,15.05,0,0,115.05,4.15,3.8,0.62,23.55,0,0,2.86,0,0,0,0.72,0.57,2.29,45.85,0,5.63,11.84,726.84,9.9,4.6,13.82,0,0,18.73,0,2.62,0,0,156.21,0,0,21.42,0,0.61
 48-58,0,0,15.58,0,0,336.65,3.41,0.69,6.99,49.21,0,0,0.66,1.14,4.94,0,0.83,1.98,0.9,131.32,0.41,3.28,5.85,1175.09,7.48,3.42,2.16,0,0.47,5.11,0,1.15,0,0,194.45,0,0.44,22.59,0,1.54
 60-70,10.91,0,26.59,0,0,243.94,0,8.8,10.69,36.84,0,0,5.68,3.12,0.75,1.29,0,0,0.86,119.42,0,0,9,596.27,2.24,6.76,9.48,0,3.39,22.7,0,0,0,0,109.03,0,0,18.11,2.72,1.78
 72-82,0.71,0,5.16,2.25,0,181.4,0,2.2,9.48,35.09,1.38,1.02,1.37,0,0.7,0.52,0.49,0,0.49,114.85,0.89,2.72,11.72,607.76,0,0,2.28,0,1.77,6.68,0,0.53,0,0,37.8,0,3.16,4.74,4.11,0
 84-94,0,0,21.86,0,1.09,159.09,0,5.22,9.3,16.2,2.85,0.86,1.01,8.9,4.04,4.23,0.96,1.9,0.99,132.97,2.07,10.62,8.03,278.95,5.4,3.98,9.47,0,4.13,46.35,0,1.71,0,0,10.81,0,0,17.26,4.44,0
 96-106,1.19,0,15.2,0,6.98,77.49,0,2.65,8.48,31.95,5.71,0,0,2.11,0,0,0.94,0,0,101.11,5.02,5.65,9.58,331.6,3.71,7.32,5.39,0,3.07,43.99,0,0,0,0,5.85,0,1.2,16.8,3.42,7.44
108-118,0,0,21,1.46,2.62,72.47,1.58,2.45,5.04,13.96,3.56,0,0.51,4.34,2.31,1,2.08,0.49,0,102.02,0,17.7,11.65,229.7,2.33,0,5.73,0,7.02,35.95,0,0.97,0,0,0,1.29,0,17.27,4.42,0
120,3.73,0,37.94,2.89,0,67.86,0,1.04,3.85,23.02,0,0,0,2.03,3.6,0,2.13,0,0,139.33,0,22.19,15.57,457.38,2.39,0,1.1,0,0,29.57,0,1.38,0,0,18.49,0,3.38,19.55,0,3.85
