stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,185.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0
  5-6,7.29,80.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.57,0,0,3.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.58,0,13.78,19.2,0,0,0,0,0,0,0,0,0,0,6.69,6.37,0,12.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.81,0,9.02,1.27,1.8,0,0,0,0,0,0,0,0,9.68,1.6,9.95,0,0,0,0,0,10.48,0,0,0,0,0,0
 24-34,0,0,4.83,0,2.22,0,0.77,0,0,0,0,0,0,0,0,2.09,0,11.49,0,0,0,0,1.31,0,2.66,0,0,0,0,0
 36-46,0,0,0.95,0,2.97,0,1.03,0,0,0,0,0,0,0,1.88,1.08,0.6,70.89,0,0,0,0,0,0,2.08,0,0,0,0,0
 48-58,0,0,2.63,0,0,0,16.95,0,0,0,0,0,0.4,0,0.6,1.92,0.64,84.27,0,0.42,0,0,0,1.87,2.54,0,0,0,0,0
 60-70,0,0,0.7,0,0,0,128.79,0.81,0,1.38,0,0,0,0,0,8.34,0,286.42,0,2.18,0,0,0,0,3.85,0,0,0,0,0
 72-82,0,0,2.84,0,0.5,0,253.99,0,0,4.04,0.94,0,1.37,0,0,10.36,2.68,252.79,0,3.01,0,0,0,0,6.6,0,0.56,0,0.71,0
 84-94,0,0,2.26,0,3.21,4.02,252.95,0.56,1.54,5.85,1.31,0.64,3.73,0,0,10.99,2.14,172.78,0,4.03,0,0,1.87,0,5.34,0,0,1.42,1,0
 96-106,0,0,0,0,0,0,112.04,0,0,9.22,2.04,0.56,4.13,0,0,0,1.21,143.66,0,5.79,0,0.83,0,0,5.04,0,0,0,3.86,0
108-118,0,0,3.21,0.74,0,0,112.95,0,0,2.71,0,0,3.31,0,0,4.12,0,173.12,0,6.32,0,1.07,0,0,0,0,0,0,1.5,0.97
120,0,0,0,0,11.03,0,105.8,0,0,0,0,0,3.39,1.28,0,0,0,268.23,0,1.47,0,0,0,0,0,1.37,0,1.44,0,0
