stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.01,1.35,0,0,0,0,0,0,0,0,1.81,6.39,0,0.84,0,2.76,0.98,0,0
 24-34,0,0,0.62,0.86,0,0,0,0,0.62,0,1.54,18.66,0,0,1.54,0,6.79,1.63,3.29
 36-46,0,0,0,3.93,0,0.74,0,0,0,0,0.61,14.79,0,0,0,0,1.94,0,0
 48-58,0,0,0,6.7,0,0,0,0,1.7,4.59,0,6.63,0.4,0,0,0,4.12,0,0
 60-70,0,0,0,6.71,0,0,0,0,0,0,0,3.53,0,0,0,0,1.21,0,0
 72-82,0,0.78,0,3.68,0.59,0.67,0,0,1.07,0,1.31,3.32,0.75,0,1.86,0,4.06,0,0
 84-94,0,0.9,0,1.9,0,2.39,0,2.33,0,0,0,3.72,0,0,2.87,0,0,0.91,0
 96-106,0,0,0,0,0,0,0,0,2.11,0,0,0.71,0,0,0,0,0,0,0
108-118,0,0.67,0,1.55,0,9.29,0,0,0,0,0,9.93,0,0,0,0,0,0,0
120,0,0,0,6.82,0,0,0,0,0,0,0,8.51,0,0,3.23,0,0,1.41,0
