stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.36,754.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,95.2,1334.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,23.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.91,33.77,0,33.84,0,0,110.39,0,0,0,0,36.38,0,0,0,0,0,0,0,0,0,0,775.15,31.99,0,0,290.54,0,9.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.79,0,32.06,0,0,49.89,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,854.92,23.83,0,0,349.91,0,9.34,0,23.32,0,0,3.51,0,0,0,0,0
 14-21,0,0,1.05,1.74,19.84,3.2,6.68,0,0,5.01,0,0,0,0,0,0,0,0,11.87,0,0,9.6,125.07,0,0,4.92,1.7,2.08,0,10.14,0,0.8,15.42,33.77,0,0,4.78,0,0
 24-34,0,0,0.6,0,3.38,0,16.52,0,0,0.75,0,0,0.68,0,0,0,0,1.07,17.51,0,0,10.1,210.11,0.75,2.35,2.33,0,1.41,0,0,0,1.64,2.16,48.26,0,0,3.23,0,0
 36-46,0,0,0,0,1.37,0,28.98,3,0.96,5.23,0,0,0,0,0,0,0,0,21.48,0,0,15.52,171.78,0.66,0,0,0,11.82,0,0,0,0,0,46.18,0,0,2.12,0,2.27
 48-58,0,0,0,0,2.71,0,43.8,0.55,0.7,7.63,0,0,0,0,0,0,0,0.96,18.19,0,0.46,1.64,88.24,0,0,0,0,1,0,0,0,1.46,0,21.94,0,0,1.02,0,0
 60-70,0,0,0,0,2.91,0,42.2,3.53,1.23,5.99,0,0,0,0,0,0,0.87,0,28.29,0.84,6.41,7.66,92.72,0,0.6,0,0,8.24,0,0,0,0,0,14.7,0,1.84,1.05,0,0
 72-82,0,0,0,0,0.74,1.29,42.98,0,0,6.15,0.69,0,1.15,0.5,0,0,0,0,40.75,0,0,4.41,56.74,0,2.75,0,0,2.87,0,0,0,0,0,3.72,3.98,0.87,2.29,0,0
 84-94,0,0,0,0,6.92,0.73,30.32,0.56,1.39,16.17,0,0,0,0,1.35,0,0,0,52.78,2.46,0,1.85,67.1,1.16,0,3.02,0,13.79,0,0,1.07,0,0,0,0,1.05,8.86,0,0
 96-106,0,0,0,0,2.76,1.86,12.75,0,1.08,10.67,1.44,0,1.03,1.17,0.86,0.92,0,0,16.55,0,0,0,45.12,2.08,0.92,2.17,0,16.18,0,0,1.71,0,0,7.48,0.58,0,5.07,1.44,1.19
108-118,0,0,0.79,0,2.33,2.56,33.64,1.04,0,13.17,3.55,0,0,1.89,0,2.08,0,0,31.86,0,2.51,9.33,53.71,0,0,1.05,0,2.01,0,0,0,0,0,5.35,0.74,0,1.65,0.82,1.15
120,0,0,0,0,1.21,2.02,1.44,1.17,0,9.61,2.56,0,0,0,0,0,0,0,34.88,0,0,2.77,56.32,0,0,5.18,0,2.97,0,0,0,0,0,0,0,0,1.09,0,3.14
