stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1034.17,20142.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.1,0,0,0,0,0,0,0,0,0,0
  5-6,1523.08,17293.04,0,40.54,0,0,0,0,0,0,0,0,29.42,0,0,0,0,0,0,0,0,0,0,208.36,17.23,0,0,151.84,366.61,0,0,0,0,0,0,0,0,0,0
  7-9,26,50.41,0,31.53,0,0,0,4.58,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,793.02,14.54,0,0,157.17,4.29,12.81,0,0,0,0,0,0,0,0,0
 10-12,0,7.52,0,35.44,0,0,0,4.61,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,28.94,0,0,0,7.65,0,11.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19.04,2.03,6.73,0,0,0,0,0,62.35,155.6,0.81,0,0,0,0,0,6.56,0,0,3.27,16.46,0,5.23,0,2.8,18.16,0,9.24,0,2.02,35.96,0,0,0,0,0
 24-34,0,0,0,13.28,6.7,0,0,0.63,0,0,0,6.52,105.18,4.38,1.46,0,0,2.08,0,6.44,0.91,0,0.69,31.1,0,0,0,0,15.47,0,13.17,0,0,9.78,0,0,0,0,9.44
 36-46,0,0,0,0.67,0,0,0,0.64,0,0,0,3.18,47.66,3.37,0,0,0,0,0,2.77,5.15,0,0,30.75,0,0.61,0,0,24.74,0,20,4.85,0,0,0,0,0,0,5.2
 48-58,0,0,0,0,0.44,0,0,6.76,0,0.42,1.29,3.09,109.45,12.31,0,0,0.51,2.57,0.87,3.82,6.12,0,0,33.85,0,0,0,0,2.64,0,8.59,0,0,1.2,0,0,0,0,0
 60-70,0,0,2.68,0,0,0,0,3.48,0.68,0,1.53,3.51,65.6,16.9,0,0,0,0,0,2.93,4.96,0,0,31.63,0,0.99,0,0,3.5,0,4.64,0,0,0,0,0,0,0,0
 72-82,0,0,28.3,0,4.04,0,0,25.69,0,0,0,4.1,35.78,14.54,0,0,0.59,4.22,0,5.62,9.52,0,0,28.84,0,0,0.51,0,4.37,0,1.1,0.75,0,0,0,0,0,5.52,0
 84-94,0,0,42.42,0,2.03,6.78,3.42,25.31,0,0,1.3,5.93,62.17,28.67,0,0,0,7.38,0,4.84,10.68,0.58,0,23.8,0,1.17,0,0,8.39,1.4,11.23,1.9,0,0,0,0.58,0,0,0
 96-106,0,0,30.08,0.79,6.91,0,0,14.19,0,0,11.82,15.54,5.03,28.02,0,0,0,11.06,0,2.36,8.65,2.07,3.46,15.42,0,1.28,0,0,18.46,0,2.29,0.69,0,0,0,0,0.59,2.4,1.61
108-118,0,0,20.98,1.06,14.7,0,3.5,16.12,0.59,0,3.27,16.27,0,43.11,0,1.59,0,12.75,0,7.95,17.62,0,0,23.99,0,0,0,0,17.54,0,3.89,3.78,0,0,2.29,0,0,1.3,0
120,0,0,47.2,0,38.86,13.62,0,17.73,1.13,1.67,7.56,5.7,0,24.14,1.25,0,0,12.25,0,0,16.66,0,0,18.07,0,0,0,0,15.75,0,8.39,0,0,0,0,0,0,11.83,0
