stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0
 14-21,1.74,0,0,0.96,0,0,0,0.81,1.37,6.53,1.13,0,0,0,5.12,1.42,2.25,1.01
 24-34,0,0,0,0,0,0,0,1.59,0.61,14.09,1.07,0,0,3.72,0,0.68,2.51,0.61
 36-46,0,0,0,1.64,1.45,0.82,0.69,3.61,0,7.39,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.35,0.41,0,0,0.76,0,2.69,0,0,0,5.83,0,0,0.53,7.1
 60-70,0.59,0,0,1.77,0,1.03,0,6.31,0.67,0,0,0,0,4.34,0,0,0,0
 72-82,0.52,0.76,0,0,0,1.18,0.55,8.83,0,12.45,0,1.29,0,0.79,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.61,0.84,1.29,0,0,0,2.1,0,0,0,0
 96-106,0,0,0.66,1.4,0,1.46,0,3.41,0,3.35,0,0,0,1.14,0,0,0,0
108-118,0,0,0,0,0,0.63,0,0,0,5.62,2.3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,6.02,0,0,0,1.21,0,0,0,3.29
