stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.67,46.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.23,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,8.2,13.1,0,0,0,4.37,0,0,0,0
 14-21,0,0,1.05,0,0,0,0,1.09,0,0,0,0,0,0,17.53,0.97,0,0.91,0,0,7.26,0,0,0
 24-34,0,0,0.95,0,0,0,0,1.64,0,0,0,0.61,0,0,65.92,0,2.89,0,2.39,0,28.41,0,0,0
 36-46,0,0,0,0,6.65,0,0,4.12,0,0,0,0.73,0,0.8,247.25,0,4.68,0,0,0,37.8,0.57,0,0
 48-58,0,0,0,0,33.02,0,3.31,7.04,0,0,2.86,15.93,0,0.43,334.93,0,0,0,0.39,0,70.18,0,0,0
 60-70,0,0,0,0,74.34,0,0.76,5.26,0,0,0,7.1,0,0,374.62,0,0,0,0,0,66.51,0,0,0
 72-82,0,0,3.14,0,71.45,0,0,8.97,0,0,6.97,3.55,0,0,231.91,0,2.61,0,0.49,0,22.63,0,0,0
 84-94,0,0,3.5,0,53.6,0,0,0,0,0.67,0,2.58,3.28,0,152.4,0,1.9,0,0,0,10.49,0,0,0
 96-106,0,0,0,3.14,43.62,0,0,4.98,0,0,0,0.64,0,0,141.26,0,2.07,0,1.58,0,0,0,0.96,0
108-118,0,0,1.23,0,39.76,0.48,0,1.91,0.64,0,0,1.14,0,0,169.81,0,0,0,0.47,0,9.78,0,0,0
120,0,0,7.71,0,29.8,0,0,0,0,0,0,6.06,0,0,209.05,0,0,0,0,0,0,0,0,2.33
