stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,21.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,23.13,21.98,0,13.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,180.1,0,4.33,0,0,0,4.97,0,0,0,0,0,0
 14-21,0,0,0,0,3.83,0,0,0,0,1.01,0,0,0,0,0,1.77,0,40.07,43.42,542.38,0,2.43,0,8.69,2.15,10.24,1.59,28.33,0,0,0,0
 24-34,0,0,0.6,1.32,0,1.82,0,0,0,0,0,0.74,0.63,0,0,33.52,0,69.16,122.69,212.62,0,0,0,5.8,1.52,3.03,0,80.78,0,8.02,0,0
 36-46,0,0,0,0,0,3.19,0,0,0,1.14,0,0,0,0,0,61.1,0,10.87,265.91,188.24,0.74,0,1.69,4.17,0,1.22,0,41.76,0,5.47,0,0
 48-58,0,0,0,3.51,0,36.06,0,1.42,0,2.38,0,0,0,0,0,108.38,0.56,15.3,405.58,52.22,0,0,0.91,22.49,0,1.34,0,34.77,0,5.03,0,1.61
 60-70,0,0,0,0,0,38.46,0,0,0,4.3,0,0,0,0.88,1.2,133.42,1.14,17.31,583.24,39.66,0,0,3.36,26,0,0.73,0,15.91,0,5.53,0,4.43
 72-82,0,0,1.29,1.78,0,92.76,0,0,1.81,6.17,0,0,0,0,0,191.91,2.38,8.91,829.48,6.79,1.55,0,8.09,28.39,0,0,0,6.28,3.98,36.32,0.86,0
 84-94,0,0,0,2.49,0,88.12,0,5.53,0,1.55,0.84,0,1.13,0,0,162.26,1.01,7.43,502.97,28.79,0.9,0,4.02,40.65,0,0,0,34.53,1.03,17.22,0,0
 96-106,0,0,0,4.15,0,105.67,0,4.77,0,10.52,1.04,0,0,0,0,178.72,0,14.43,403.72,14.56,3.85,0,12.95,45.06,0,0,0,0,9.56,22.8,1.66,0
108-118,0,0,0,0,0,37.69,1.3,5.04,0,6.29,0,0,0,0.51,0,199.16,3.99,8.14,490.1,4.49,0.93,0,7.11,16.65,0,0,0,6.32,5.14,19.55,2.5,0
120,0,0,0,21.12,0,91.31,0,9.59,0,4.41,0,0,0,0,0,127.02,20.53,5.72,694.46,23.94,2.49,0,2.63,8.69,0,0,0,0,0,38.04,1.8,0
