stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,23.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.03,0,0,5.83,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.98,5.01,0,0,3.49,0,0,0,0,0
 14-21,0,0,3.31,0.99,0,0,0,0,1.42,0,0,0,0,0,0,8.31,0,0,0,0,2.28,0.85,3.08,0.82,0
 24-34,0,0,0.64,0,1.75,0,0,3.35,0,0,0,0,0,3.28,1.14,53.28,0,0,1.1,0,0.71,0,7.28,0,0
 36-46,0,0,0,0,19.21,0,0,2.45,0,0,0,0,0,2.05,0,16.17,0,1.15,9.47,0,9.79,0,4.84,0,0
 48-58,0,0,0,0,17.84,1.85,0,2.41,0,0,0,0,0,2.01,0,51.16,0,1.7,0,0,0,0,1.99,0,0
 60-70,0,0,0.6,0,20.79,0,1.64,14.21,0,0,0,0,0,0.98,0,23.49,0,0,2.6,0,0,0,2.63,0,0
 72-82,0,0,0,0,0,0,0,1.24,0.82,0,0,0,0,0,0,16.72,0,0,0,0,0,0,0,3,0
 84-94,0,0,1.34,0,12.84,0,0,0,0,3.69,0,1.42,0,13.14,0.95,16.78,0,0,0,0,0,0,0.95,1.29,0
 96-106,0,0,0,0,0,0,0,2.49,0,0,0.57,0,0.92,2.95,0,7.27,0,0,1.12,0,1.41,0,0,0,0
108-118,0,0,3.64,0,5.86,0,0,6.25,0,0,0,0,0,0.79,1.03,2.07,0,0,0,0,0,0,0,0,0
120,0,0,0,0,12.66,0,0,0,1.54,0,0,0,0,5.5,0,54.11,0,0,0,0,2.73,0,16.47,6.85,12.21
