stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.43,235.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0
  5-6,0,146.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,16.19,0,0,0,0,0
  7-9,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.18,0,0,0,0,19.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,6.67,0,0,0,0,0
 14-21,0,0,1.24,0,1,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0.95,0,7.46,25.17,0,0,1.49,165.47,1.46,0,0,0,0
 24-34,0,0,0,0,3.56,0,0,0,0,0,0,0,0,17.26,7.92,0.84,0,0.64,1.36,1.22,76.82,8.94,0.71,1.36,0,273.52,5.5,0,2.83,0,0
 36-46,0,0,0,0,0,9.95,4.26,0,0,0,0.86,0,0,4.5,12.06,0,0,2.39,1.18,0,64.27,17.42,0,2.93,0,401.54,2.11,0,0,0,0
 48-58,0,0,0,0,8.92,0,6.2,2.05,0,0.85,0.44,0,1.63,3.16,20.34,0,5.43,0.42,5.67,0.41,68.28,11.15,0,9.95,0,215.86,6.91,0,0,0,3.57
 60-70,0,0,0,0,24.66,0,6.55,4.5,0,6.41,0.62,0,0,9.24,16.83,0,0,2.79,3.77,0,92.98,10.25,2.81,4.24,0,195.23,2.66,1.73,0,0,0
 72-82,0,0,1.56,0.56,15.08,0,5.61,0,0,11.86,13.76,0.74,1.77,3.96,27.5,0,0,3.65,10.74,0,137.25,2.21,1.34,14.77,0,96.64,1.38,5.35,0,0.54,0
 84-94,0,0,2.08,0,26.58,1.08,15.11,1.24,0,6.44,34.81,4.17,4.42,12.1,33.49,0,0,0,18.17,0,89.92,10,1.46,11.6,0,261.8,0,24.17,2.73,1.26,0
 96-106,0,0,1.15,0,30.92,0,6.21,6.67,0.86,4.15,39.55,3.28,4.42,9.93,52.47,1.54,0,6.88,15.18,0,83.15,16.75,1.1,8.33,0,137.36,0,57.68,7.18,0,0
108-118,0,0,0.97,0,38.18,0,15.17,0.7,0,15.07,35.63,2.43,8.83,15.61,34.85,0,0,7.3,38.1,0,97.72,28.53,4.16,12.8,0,133.76,0,95.46,0,0,0
120,0,0,8.22,0,46.49,0,27.95,0,0,24.66,58.33,0,14.2,16.17,25.13,0,0,3.48,2.21,0,115.53,53.08,7.75,15.45,0,65.14,12.44,41.08,4.77,0,0
