stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.17,195.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,68.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0
  7-9,23.59,4.99,5.1,0,0,11.28,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,189.81,0,0,0,36.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.68,100.14,0,0,12.09,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,636.19,4.38,0,0,44.33,0,0,0,5.64,0,0,0,0,0,0
 14-21,0,0,1.49,161.06,3.15,3.51,0,0,0,0,0,0,0,0,2.94,0,2.33,0,0,17.75,0,0,9.14,85.28,0,3.07,14.7,0,0,13.87,1.97,0.94,0.87,12.84,0,0,0,0
 24-34,0,0,0,72.94,0.9,26.94,0,2.88,4.89,0,0,1.15,4.47,0.67,18.96,0,36.71,0.65,0,226.02,1.75,0,76.56,409.83,0,13.1,60.74,0,0,27.62,2.71,7.96,11.34,43.02,0,6.35,0,0
 36-46,0,0,0,50.93,0,4.37,0,12.87,28.85,1.81,0,0,2.78,0,6.39,0,25.55,1.34,0,484.76,0,0,140.08,437.95,0.61,10.87,59.64,0,0,39,2.05,4.23,0.96,52.94,0,2.96,0,1.02
 48-58,0,0,0,36.11,2.2,17.91,0.58,17.28,15.58,2.79,0.68,0,2.26,0,14.62,0.78,22.55,0,0,423.48,0.45,0.41,91.99,248.68,0.38,7.05,49.96,0,0,49.81,0,1.21,0,38.85,1.28,4.67,0,4.94
 60-70,0,0,0,49.14,0,42.09,3.06,11.88,9.22,16.79,0.89,0,0.88,0,18.77,0.78,34.38,0,0,445.19,0,0,82.36,222.59,2.4,15.84,34.57,0,0,37.07,0,1.68,0,22.94,2.95,24.02,0,0
 72-82,0,0,0,34.51,0,60.34,0,0.52,9.8,14.71,0.66,0,0.9,1.25,12.23,1.85,28.74,3.06,0,365.47,0,2.15,40.23,176.52,5.44,17.82,31.09,0,1.77,83.7,0,3.63,0,5.56,3.92,23.6,0.76,8.46
 84-94,0,0,0,27.01,0,62.03,0,5.03,3,5.01,1.03,0,0,0,5.88,2.85,44.32,2.4,0,280.97,3.37,0.6,37.82,115.18,0,21.77,23.79,0,2.68,118.63,0,4.52,0,4.91,2.85,17.56,8.6,0.74
 96-106,0,0,0,70.15,7.63,94.32,0,7.25,2.81,2.61,4.29,0,1.28,1.38,28,9.68,50.1,3.93,3.61,322.02,5.26,0,25.6,94.54,0.62,39.02,15.14,0,1.36,135.85,0,2.03,0,6.25,6.35,31.33,0.68,0
108-118,0,0,0,40.23,1.35,65.77,3.03,0.51,0.43,9.68,1.43,0,1.12,3.25,18.42,4.89,21.95,1.1,0,304.57,16.77,0,30.95,128.93,3.69,26.24,13.91,0,11.21,150.58,0,0.59,0,2.37,4.83,18.53,0.74,0
120,1.12,0,0,88.51,0,55.23,0,2.34,1.66,1.96,1.79,0,0,1.19,19.26,2.63,9.69,18.25,0,365.51,5.12,0,11.8,207.96,0,80.7,12.88,0,0,88.03,0,6.63,0,0,0,26.3,17.64,0
