stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,28.5,212.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,173.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.92,0,12.56,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,8.47,0,0,0,0
 14-21,0,0,1,2.66,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0
 24-34,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,9.47,0.74,0,0,0.6,1.68,0
 36-46,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0.74,26.3,0,0,0,0,3.99,0
 48-58,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,16,0,0,0,1.33,0.73,0
 60-70,0,0,0,0,8.05,0,0,0,0,0,6.47,0,0,0,34.24,0,0,0,6.55,2.43,0
 72-82,0,0,0,0,9.66,0,5.06,2.97,0,0.65,0,0,0,0,99.22,0,0,0.8,1.73,6.92,0
 84-94,0,0,0,0.66,6.64,0,0,3.2,0,0,0,2.72,0,0,11.88,0,0,0,2.37,0,0
 96-106,0,0,0,0,10.38,0,4.72,57.18,0.61,0,2.16,0,0,0,49.24,0,0,0,2.22,4.23,0
108-118,0,0,0,0,6.24,0,0,94.41,0,0,0.43,7.7,4.16,1.95,51.09,0,0,0,0.98,3.18,1.13
120,2.37,0,0,0,0,1.44,7.81,122.03,0,0,0,3.04,0,0,23.12,0,0,0,3.87,0,0
