stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,84.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.31,0,0,0,0,27.21,0,22.67,0,0,0,0,0,0
 10-12,0,6.18,0,0,0,0,0,0,0,0,0,22.48,0,13.6,0,0,0,0,0,0
 14-21,0,0,0.8,0,0,0,0,0,0,0,0,3.38,0,0,0,2.2,0.86,0,0,0.96
 24-34,0,0,1.85,0,0,0,0,0,0,0,0,8.96,1.36,0,1.67,0,1.59,3.92,0,0
 36-46,0,0,0,0,1.04,2.55,0,4.46,0,0,0,13.12,0,0,0,0,0,1.82,0,0
 48-58,0,0,0,0,2.47,0.78,0,0,0,2.12,0.89,10.22,0.86,0,0,0,0,0,0,0
 60-70,0,0,0.88,0,6.14,0,0,0,0,1.54,0,6.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.61,1.2,0,0,0,0,0,6.72,0,0,2.76,0,0,0,0,0
 84-94,0,0,0,0,1.35,0,0,0,0,0,0,0,1.05,0,1.84,0,0,0,0,0
 96-106,0,0,0,1.49,1.13,0,0,0,0,1.1,0,0,0,0,2.91,0,0,0,0,0
108-118,0,0,0,0,0.67,0.98,0,0,1.33,0,0,3.56,0,0,0,0,0,0,1.01,0
120,0,0,0,0,0,10.48,0,10.78,0,0,0,5.7,0,0,4.52,0,0,0,0,0
