stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.03,0,1.78,0,0,0,0,2.83,0,0,0,0,0,0,0,2.93,0,1.76,28.84,1.22,0,0.85,0.86,0,0,1.79,1.78,15.62,42.17,0,0,2.4,0,1.22
 24-34,0.6,0,3.65,0,5.45,0,0,0,3.09,0,4.21,0.6,0,0,0,3.27,32.33,0,8.08,512.6,2.14,2.37,0.65,0,0,0,0,0,1.89,127.37,0,0,19.21,0,0
 36-46,0,0,0,0,55.31,0,0,0,18.51,0,0.79,0,0,0,0,1.83,31.6,0,10.02,622.06,0,2.58,0.63,0,0,0,0,0,0,145.21,0,0,17.05,0,5.09
 48-58,0,0,2.73,0.45,151.06,0,0,0,23.38,0,0,0,0,0,1.44,0.43,12.71,0.83,2.66,591.63,0.55,5.06,3.53,0,0,0,0,0.76,0,72.44,0,0,7.96,0,3.57
 60-70,0,0,1.07,0,520.89,0,0,2.69,37.03,0,0,0,4.61,0,2.74,0,47.08,0,4.2,869.35,3.36,1.46,0,0,0,0,0,1.34,0,131.42,0,0,3.75,0,10.52
 72-82,0.53,0,11.72,0,429.88,0,2.77,5.65,34.22,0,0.56,0,0.49,0,0,0.5,93.73,0,6.82,596.95,1.47,1.88,0,0,3.43,1.24,0,8.92,0,76.16,4.85,0.56,12.48,1.92,1.16
 84-94,2.24,0,3.3,0,376.98,7.04,0,1.37,14.69,0.71,0,0,2.64,0,0,0,26.83,1.74,5.68,485.2,2.8,2.19,0.56,0,0,0,0,0,0,26.11,2.74,0,8.19,0.68,14.27
 96-106,0,0,0.57,0,161.3,0,0,0,14.6,0,0,0,1.03,0,0,1.2,42.18,0.95,0,186.83,0,0,0,0,0,0,0,7.42,0,8.61,0.99,2.03,3.13,1.12,0
108-118,0.6,0,7.51,4.01,165.59,0,0,3.55,21.68,0.7,0.86,0,0.85,0,0.48,3.58,40.97,0,3.56,367.27,0,5.89,0,0,0,0,0,0,0,10.46,0,2.74,21.35,0,5.94
120,0,0,2.22,0,166.06,1.95,0,0,28.05,0,0,0,0,1.08,0,0,88.09,0,3.71,332.02,0,0,0,0,0,0,0,0,0,3.65,0,0,13.77,0,0
