stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,11.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,92.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.21,0,59.19,1.08,0,0,2.35,0,37.59,1.61,0,2.79,2.75,45.09,1.01,170.29,0
 24-34,0,0,2.33,2.73,0,44.79,0,0,0,6.87,0.61,48.53,0,9.03,0,0,46.95,0,95.76,0.85
 36-46,0,0,0,7.48,0,33.93,0.67,0,8.02,0,0,37.75,0,9.45,0.8,0,30.87,0,48.64,0
 48-58,0,0,0,0,4.67,26,0,0.4,0,0,0,29.14,0,4.64,2.08,0,5.9,0,35.36,0
 60-70,0,0,0,0,1.01,30.82,0,0,0,0.57,0,5.44,0,0.67,0.78,0,11.57,0,26.57,0
 72-82,0,0,0,0,0,18.3,0,0,0,0,0,17.01,0,4.22,2.77,0,2.18,0,1.96,0
 84-94,0,0.74,0,0,0.71,8.68,0,1.7,0,0,0,3.98,0,4.69,2.71,0,2.12,0,4.91,0
 96-106,0,0,0,0,0.98,11.55,0,5.1,0,0,0,7.39,0,7.41,4.85,0,0,0,1.91,0
108-118,0,0.79,0,0,4.15,14.53,0,1.18,0,2.12,0,6.64,0,5.97,7.55,0,5.25,0,5.98,0
120,0,0,0,0,0,0,0,10.34,0,0,0,0,0,0,2.63,0,8.31,0,0,0
