stage,epidermis,eye,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,3.16,0,1.9,0
 24-34,0,0,0,0,0,0,0,0,4.5,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.31,0.63,0,0
 48-58,1.42,10.6,0,3.86,0,0.86,0,0,5.6,0,0.7,0.49
 60-70,0.71,3.26,0,0,0,0,4.4,2.27,8.24,0,0,0.95
 72-82,0,0.83,0,0,0,0,0,0,5.18,0,0,3.32
 84-94,0,0.69,0,0.71,0,0,0,0,0,0,0,0
 96-106,0,1.25,1.98,0,0,1.91,0,0,5.59,0,0,0
108-118,0,0,0,0.64,3.46,0,0,0,3.93,0,0,0
120,0,2.55,0,3.52,0,0,0,0,20.23,0,0,0
