stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.81,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,13.36,0,7.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.71,7.83,2.17,0.98,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.64,32.68,0.81,0,0.87,0,0,3.94,0,2.49,10.78,0,1.6,0,0
 24-34,0,0,0,0,0,0,5.8,0,0,0,4.26,0,0.75,0,0,0,0,0,0,1.65,0,0,0,142.83,0,1.36,0,0,0,0,0.88,0.67,16.91,0,47.08,0,0
 36-46,0,0,0,0,6.11,0,19.45,8.3,0,0,4.91,0,1.4,0,0,0,0,0,0,14.41,0,0,4.35,202.34,0.55,0,0,0,0,0,0,0,20.17,0,34.46,0,4.94
 48-58,0,0,0,0,0,0,20.09,0,0,0,8.99,0,3.93,0,0,0,0.97,0,0.59,11.09,0,0,3.36,224.86,5.29,1.36,0,0,0,0,0,0,18.77,0,38.41,0,7.27
 60-70,0,0,0,0,0.67,0,32.67,0,2.59,1.04,7.73,0,11.34,0.72,0,0,0,0,0,14.75,0,0,0,130.13,0,1.16,0,0,0,0,0,0,6.32,1.31,40.42,1.79,8.97
 72-82,0,0,0.95,0,0,0,24.31,0,0,0,1.14,0,5.47,0.49,7.99,0,0,0,4.7,17.02,0,13.93,1.79,81.34,0,0,0,4.42,0,0,0,0,5.32,8.02,134.75,1.95,2.99
 84-94,0,0,0,0,0,0,16.55,0,0,0,4.65,0,11.72,0,0,0,0,0,4.99,6.5,0,0.57,0.7,71.07,0,0,0,8.94,0.75,0,0,0,1.18,6.88,110.64,2.17,12.3
 96-106,0,0,0,0,0.62,8.33,15.1,0,0,0,2.58,1.62,5.68,3.6,0,0.58,0.83,0,2.08,29.5,0,5.62,0,55.52,0,0,0,8.73,0,0,0,0,0,11.38,138.44,1.85,5.77
108-118,0,0,0,0,0,0,10.13,0,0,0,2.19,0,3.97,3.33,0,7.3,0,0.6,19.81,17.97,0.7,7.72,0,44.19,0,0.9,0,23.21,0,0,0,0,0,4.52,86.54,1.22,29.97
120,0,0,3.99,0,2.85,0,34.19,0,0,0,7.72,0,0,4.54,0,0,0,0,0,21.68,0,0,0,43.74,0,0,0,38.54,0,0,0,0,8.98,0,104.76,0,7.97
