stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.09,0,0,0,47.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,25.97,0,0,15.98,0,0,6.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,32.88,4.1,0,3.79,0,0,0,10.35,0,3.81,0,0,0,0,0,0,30.45,0,0,24.14,35.54,262.27,0,0,0,0,0,0,0.84,0,10.97,307.34,0,0,0,0
 24-34,0,0,0,0.59,5.39,2.4,0,7.32,0,3.07,0.64,0,0,4.16,0,0,0,0,0,6.94,9.32,0,0,5.08,191.98,1.5,0,3.29,0,0,0,0,0,0,0,165.87,0,2.13,0,0
 36-46,0,0,0,0,4.66,0,0,18.08,0,0.8,3.33,1.3,0,2.47,0,0,0,0,0,8.25,23.67,0,7.22,0,647.69,0.6,1.78,0,0,0,0,0,0,0,0,108.93,0,3.51,0,0
 48-58,0,0,0,0,2.59,0,0,43.59,0,0.4,20.16,5.15,0,0.44,0,0,0,0,1.02,8.07,72.69,0,1.94,3.33,890.4,0.99,2.27,1.29,0,0.59,0,0,0,0.4,0,85.82,0,0.43,0,0
 60-70,0,0,0,0,12.58,0,0,116.57,0,5.75,37.75,63.25,0,2.01,0.6,0.62,8.99,0,0,1.24,149.28,0,31.94,0.76,1709.38,0,1.87,2.22,0,3.7,0,0,0,0,0,151.5,9.81,0.72,7.19,0
 72-82,0,0,0,1.89,8.14,6.92,0,131.22,1.33,4.85,72.23,93.28,0.74,0,1.35,0,0,0,0,3.67,245.34,0,28.86,6.35,1316.01,0,0.7,18.27,0,0.77,0,0,0,0,0,85.83,15.27,2.59,12.77,25.2
 84-94,0,0,0,3.94,3.9,6.1,0,109.39,0,16.21,33.7,63.27,1.94,1.22,1.94,0.69,0,0,0,6.85,192.84,0,13.92,0,925.13,0.7,0,10.54,0,2.62,4.53,0,0,0,0,81.93,8.91,0.6,13.18,0
 96-106,0,0,1.14,1.71,8,2.71,3.15,132.13,0,7.45,43.38,135.52,0,0.96,0.63,1.99,0,0.86,0,3.31,280.01,1.61,17.96,18.18,768.28,0,2.26,24.29,0,29.21,2.9,0,0,0,0,60.16,11.47,3.19,17.29,0
108-118,0,0,0.83,8.3,18.09,0.94,0,114.44,0,5.99,40.69,81.86,3.93,0.47,1.54,0,0,0.43,0,0,265.54,0,3.15,7.5,1094.35,0,0,21.08,0,13.08,0,0,0,0,0,32.93,10.71,2.21,13.45,0
120,3.94,0,0,2.55,11.54,0,0,120.68,0,5.61,47.74,105.31,0,0,5.69,0,0,1.34,0,0,224.02,0,4.36,0,1202.72,0,5.38,12.33,0,26.47,0,0,0,0,0,52.24,2.55,6.2,14.49,15.67
