stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,107.99,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0,0,0,0
  7-9,0,4.63,7.99,0,5.41,0,0,6.4,0,0,59.54,0,57.5,0,0,0,0,0,0
 10-12,0,4.31,0,0,0,0,0,0,0,0,42.95,5.37,13.73,0,0,5.84,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.19,0,1.53,0,5.77,0,0,0,0
 24-34,0,0,0,1.01,0.7,1.05,0,0,0.89,0.78,13.45,0,0,0,0,0,1.34,13.84,0
 36-46,0,0,0,1.39,0,0,0,0,0.98,0,3.99,0,0,0,0,0,0,1.81,0
 48-58,0,0,0,0,2.21,0.83,0,0.54,0.43,0.58,5.67,0,0,0,0,0,0,2.23,0
 60-70,0,0,0,0.61,0,0.98,0,0,1.08,0,4.02,0,0,0,0,0,0,1.13,0
 72-82,0,0,0,0,20.15,0,0,0,1.57,0,1.46,0,0,0,0,0,0,8.22,5.85
 84-94,0,0,0,0,8.19,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,11.07,0,0.79,0,2.42,0,4.21,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.52,0,5.38,0,0,2.43,0,0.43,0,0,0
120,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0
