stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,28.28,729.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0
  5-6,50.51,303.52,0,0,0,0,0,0,0,0,0,0,0,0,21.78,7.03,0,0,0,9.92,0,0,0,0,0,0,0
  7-9,0,0,3.5,0,0,4,0,0,0,0,0,0,0,0,39.51,0,0,0,7.79,0,4.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1,0,0,0,24.04,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.03,0,3.06,0,0,1.22,0.87,0,8.2,0,7.03,26.44,3.83,0,0,0,1.88,0,3.8,0,4.69,13.5,0,0
 24-34,0,0,0,0.72,0.89,0,0,0,0,0,0,4.83,0,1.99,20,0,0,0,0,0,0,0,0,0,4.7,0,0.62
 36-46,0,0,0,0,0,2.37,0,0,0,0,0,2.84,0,0,6.9,0,0,0,0,6.33,0,0,0,0,5.41,0,0
 48-58,0,0,0,0,0,0.68,0.49,0,0.42,0,0,0.89,0,0,12.45,0,0,0,0,0,0,0,0,0,3.14,0,0
 60-70,0,0,0,0,0,3,0,2.21,1.18,0,0,0,0,0,40.18,0,0,0,0,0.6,0,0,0,0,1.62,0,0
 72-82,0,0,0,0.8,0,8.4,0,0.83,10.99,0,0.6,5.59,0,0.49,20.59,0,0,0,0,0,0,0,0,0,0.57,0,0
 84-94,0,0,0,2.71,0,2.13,0,5.06,4.65,0.92,0,0.6,0,0,23.31,0,0,0.61,0,0,0,0,0,0,0,0.62,0
 96-106,0,0,0,1.06,0,1.75,2.27,0,3.84,0,0,0.64,5.64,0,27.75,0,0,0,0,5.9,0,0,0,0,0,0.9,0.65
108-118,0,0,0,0,0,0,0,1.05,2.43,0,0.51,0.92,1.72,0,15.17,0,1.19,0,0,3.98,0,0,0.47,0,0,0,0
120,0,0,0,0,0,8.36,0,9.33,0,0,0,0,0,0,38.75,0,0,4.87,0,0,0,0,0,0,0,0,0
