stage,endocrine_pancreas,epidermis,erythrocytes,eye,gut,immune,mesenchyme,neural,otic,slow_muscle,somites,spinal_cord,taste,vasculature
 14-21,0,1.1,0,0,0,0,0,0,0,38.36,1.3,3.13,0,0.95
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42
 36-46,0,0,0,1.13,0,20.8,0,2.77,0,0,0,0,0,8.06
 48-58,0,0,0,0,0,11.39,0.5,0,0,0,0,0,0,0.72
 60-70,0,0,0,0,0,13.02,0,0,0,0,0,0,0,8.24
 72-82,0,0,0,0,0,21.47,0,0,0,0,0,0,1.56,4.36
 84-94,0,0,10.39,0,0,28.34,0,0,0,0,0,0,0,1.85
 96-106,0,0,0,1.08,1.13,53.08,3.19,0,0,0,0,0,1.26,3.67
108-118,0.41,0,0,0,0,59.25,1.08,0,1.46,0,0,0,0,0
120,0,0,0,0,0,135.51,0,15.61,0,0,0,0,0,0
