stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,365.4,10899.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.59,0,0,0,0,0,0,0,0,0,0
  5-6,708.72,8010.67,0,20.52,0,0,0,0,0,0,0,0,0,33.09,0,0,0,0,0,0,0,0,0,0,0,365.77,65.37,0,0,101.87,0,102.4,0,0,0,0,0,0,0,0,0,0
  7-9,358.55,238.64,0,443.46,0,0,0,606.44,0,0,0,0,0,468.39,0,0,0,0,0,0,0,0,0,0,0,5756.8,236.55,0,0,2164.72,0,12.18,71.06,0,0,0,0,0,0,0,0,0
 10-12,0,187.51,0,363.67,0,77.72,0,469.17,0,0,0,0,0,289.71,0,0,0,0,0,0,0,0,0,0,0,5733.46,144.82,0,0,2167.05,0,6.16,56.73,19.38,360.68,0,19.78,21.62,0,0,0,0
 14-21,0,2.25,0,38.43,359.92,93.03,0,115.56,0,0,0,35.99,14.15,4.91,1.07,3.71,18.01,0,0,1.15,0,176.84,0,0,153.91,2021.2,43.39,16.12,29.92,50.92,0,73.32,1.4,262.3,25.25,0,252.66,572.82,0,12.37,0,0
 24-34,0,0,0,5.25,104.34,70.67,0,540.12,0,3.73,0.63,52.66,0,0,8.78,10.24,3.72,16.09,5.21,7.89,0,406.75,2.01,1.52,196.48,3926.75,34.91,33.13,39.07,10.77,0,129.33,0,3.71,5.84,4.1,24.46,847.48,0,102.85,0,26.94
 36-46,0,0,0,1.16,64.46,30.32,0,1265.27,0,5.83,0.63,73.79,2.36,0,3.08,25.87,0.74,14.68,0.57,7.29,0,366.08,2.39,4.93,112.11,2737.6,12.46,15.06,20.37,0,0,50.94,0,3.35,10.21,0,0,579.47,0,50.23,0.78,28.94
 48-58,0,0,0,0,62.09,26.4,0,1563.68,0,3.92,7.69,81.88,0.92,0,12.91,10.65,4.66,4.26,1.87,4.54,0,394.69,0.53,33.87,68.09,1510.76,11.83,9.29,16.89,0,0,22.02,0,0,0.47,1.01,0,201.15,0,30.91,0,13.6
 60-70,0,0,0,0,102.38,6.58,0,1119.93,1.8,1.31,2.34,83.98,10.79,0,0,21.51,2.65,0.7,5.2,1.41,7.36,267.88,0,34.45,29.92,753.62,11.86,2.88,14.13,0,1.65,29.23,0,0,0.83,0,0,37.93,0,33.82,1.54,9.1
 72-82,0,0,0,0,51.55,4.6,0,372,0,0.8,6.07,69.24,1.18,0,5.69,16.58,4.39,7.43,1.27,3.98,0,223.74,0.56,20.04,51.2,464.21,0,4.01,7.22,0,0,7.95,0,0,0,0,0,8.59,1.25,29.9,0,3.34
 84-94,0,0,0,0,59.75,24.4,2.06,331.96,0,0.74,0,40.98,11.51,0,4.66,19.5,3.95,3.5,3,5.2,0,214.57,0,22.95,38.98,409.43,4.94,7.9,13.07,0,1.01,9.83,0,0,0.86,0,0,6.23,4.51,28.23,0,0
 96-106,0,0,1.38,0,42.2,23.74,2.39,208.28,0.89,1.44,13.24,60.95,7.92,0,4.54,33.48,1.88,9.1,1.71,9.08,0,140.36,4.89,8.18,23.36,316.09,3.14,4.77,16.83,0,0,15.31,0,0,3.24,0,0,9.33,2.45,33.26,0.8,0
108-118,0,0,0,0,34.17,18,6.48,241.2,2.21,0.88,0,70.88,10.67,0,0,24.37,2.62,3.03,0,3.02,0.98,86.48,0,13.57,29.17,424.06,1.28,11.13,7.24,0,0,10.64,0,0,2.78,0,0,2.53,1.92,22.51,0,0
120,0,0,0,0,19.26,47.62,0,275.55,0,0,1.04,69.98,1.96,0,0,35.97,2.76,0,0,5.34,0,117.41,0,2.76,20.49,365.45,9.25,0,0,0,0,10.29,0,0,2.89,0,0,27.77,0,56.85,0,1.64
