stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,mural_cell,neural,olfactory,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.09,0,0,4.83,0,0.91,0,6.18,0
 24-34,0,0,0,0.6,0,0,0,0,0,0,0,0,51.68,2.72,0,0,14.5,0
 36-46,0,0,0,8.08,0,0,0,0,0,0,0,0,185.03,0,0,0,22.1,0
 48-58,0,0.41,0,24.92,0,0.54,0,0,0.49,0,0,0,237.01,0,0,0,31.62,0
 60-70,0,0.77,0,56.93,0,0,1.17,0,0,0,2.07,4.88,219.95,1.55,0,0,25.63,0
 72-82,0,0.96,0,39.81,0,0,0,0.86,0,0,0,0,237.62,0,0,0,9.47,1.49
 84-94,0,0.86,0,39.96,0,0,0.73,0,0,0,1.95,0,192.55,0,0,0,4.48,0
 96-106,0,1.96,0,32.73,0,0,3.61,0,0,0,3.25,0,128.41,0,0,0,9.98,0
108-118,0,0,0.85,23.23,2.46,0,3.14,0,0,0,0,0,151.9,0.95,0,0.97,0,0
120,0,0,0,3.09,0,0,19.15,0,0,0,6.55,0,207.63,3.36,0,0,6.95,0
