stage,blastomeres,eye,fast_muscle,glial,heart,immune,iridophores,melanocytes,mesenchyme,neural,paraxial_mesoderm,somites,spinal_cord,vasculature
  5-6,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.76,8.62,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.98,1.04,0
 36-46,0,0,0,0,0,0,0,0,0.63,0,0,0,0.66,0
 48-58,0,0,0.58,1,0.48,0,0,0,0.5,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,2.6,0.82,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
 96-106,0,0,0,0,0,0,0,0,2.17,1.67,0,0,0,0
108-118,0,0,0,0,0,0.5,0.98,0.74,0,0.93,0,0,0,0
120,0,4.47,0,0,0,0,1.58,0,0,2.34,0,0,0,0
