stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,187.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.13,94.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.23,3.78,0,9.15,0,0,0,24.08,0,0,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,171.65,15.13,0,0,67.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.51,0,13.66,0,0,0,16.21,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0,231.11,55.93,0,0,102.26,0,0,0,16.61,0,0,0,0,0,0,0
 14-21,0,0,0.8,1.3,13.56,0,0,0,0,0,0,3.51,1.5,0,0,0,0,0,0,0,4.65,0,0,3.09,52.07,1.97,0,0.88,2.54,0,0,12.57,0.87,0.81,8.43,27.74,0,0,0,0
 24-34,0,0,0,0,0.85,0,0,11.13,0,2.52,0,0,0,0,1.06,0,0,0,0.63,0,11.7,0,0,2.85,85.17,0,0.96,2.57,0,0.99,0.61,0,0,0,2.51,21.7,0,3.27,0,2.64
 36-46,0,0,0,0,0,0,0,14.4,3.38,0,0,3.52,0.56,0,0,0,0,0,0,0,16.31,0,0,3.1,98.01,0.55,0,0,0,0,0,0,0,0,0,25.08,0.85,0,0,0
 48-58,0,0,0,0,0.5,0,0,33.22,0,0,0.39,7.1,0,0,0,0,0,0,0,0,14.28,0,1.57,1.38,66.26,1.44,0,0.41,0,0,0.38,0,0,0.73,0,14.88,0,3.39,0,0
 60-70,0,0,0,0,1.27,0,0,62.01,0.85,0,0.91,7.45,0,0,0,0,0,0,0,1.06,27.29,0,0,0.86,63.09,6.77,0,0,0,0,0,0,0,0,0,6,0,0,0,0
 72-82,0,0,0,0,0,0.49,0,36.26,0,0,0,6.14,0,0,0,0,0,0,0,0,16.12,0.56,0,1.35,35.57,0,0,4.79,0,0,2.55,0,0,0,0,2.6,1.34,0,0,0
 84-94,0,0,0,0,1.87,0.83,0,12.78,0,1.31,0,9.29,0,2.11,0,2.94,2.58,0,0,0,12.43,0,0,2.53,33.58,0,3.11,0,0,0,4.32,0,0,0,0,6.64,2.05,1.19,0,0
 96-106,0,0,0,0,1.96,7.13,0,10.42,0,0,0,6.57,0,0,0,0,0,0.91,0.75,0,19.87,0,0,0.94,30.82,0,0,0.65,0,0,0,0,0,0,0,0,0,0,1.16,0
108-118,0,0,0,0,1.34,0,0.61,14.35,0,0,0,4.11,0.62,0,0,0.51,0,2.34,0,0.65,14.34,0,0,1.96,31.21,0.49,1.61,0.98,0,0,0,0,0,0,0,2.25,0.92,3.8,0,1.03
120,0,0,0,0,4.28,0,0,21.27,0,0,5.26,2.33,0,0,0,2.37,0,0,0,0,0,0,8.68,1.99,22.45,1.28,0,0,0,0,1.83,0,0,0,0,0,0,5.84,0,0
