stage,endocrine_pancreas,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,neural,periderm,pronephros,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,9.53,0
 14-21,0,0,1.01,0,0,0,0,0,3.4,0,0,2
 24-34,0,0.65,0,0,0,0,0,0,7.51,0,0,0
 36-46,0,0,3.86,0,0,0,0,0,9.56,0,0,0
 48-58,0,0,6.78,0,0,0,0,0,4.56,0,0,0.89
 60-70,0,0,0,0.98,0,0,0,0,5.99,0.68,0,0
 72-82,0,0,0,5.41,0,0,0,0,4.85,0,0,0
 84-94,0,0,2.12,0,0,0,0,0.79,12.04,0,0,0
 96-106,0.87,0,8.36,0.75,0,0,0,0,1.6,0.62,0,0
108-118,0,0,3.09,0,1.06,0.43,4.52,0,2.32,0,0,0.62
120,0,0,3.1,0,0,0,0,0,6.37,0,0,0
