stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,148.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.5,0,41.42,0,0,0,68.09,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0,0,0,0,579.49,21.37,0,0,204.74,0,0,7.58,0,0,0,0,0,0,0,0,0,0
 10-12,58.52,0,50.8,0,6.59,0,142.36,0,0,0,0,0,46.62,0,0,0,0,0,0,0,0,0,0,0,842.66,73.45,0,0,292.21,0,3.1,0,0,17.42,0,7.28,0,0,0,0,0,0
 14-21,0,0,0,50.57,11.12,0,10.85,0,0.87,0,7.73,0,0,0.92,0,0,0,1.84,0,0,19.7,0,0,14.97,110.99,5.21,0,0,4.25,0,2,0,21.48,1.1,1.08,20.64,44.32,0,0,5.84,0,0
 24-34,0,0,0,19.86,3.71,0,14.32,0,5.56,0,12.92,0,0,4.37,0,0,0,0,0,2.39,32.4,0,0,18.52,246.7,1.92,1.91,1.57,0,0,0,0,0,0.63,3.79,9.08,68.74,0,0,28.67,0,0
 36-46,0,0,0,15.34,0,0,32.46,1.82,0.59,1.42,10.98,0,0,2.26,0,0,0,2.77,0,15.31,46.65,0,0,16.72,260.66,7.23,0,2.22,0,0,0,0,0,0.62,0,0,70.34,0,0,23.59,0,9.91
 48-58,0,0,0,5.27,0,0,55.4,2.88,0.88,1.78,25.29,3.62,0,1.07,0,0,0,5.93,0,33.95,37.57,0,1.16,5.93,260.97,6.8,1.08,3.7,0,0.73,0,0,0,0,0.68,0,53.82,0,0,14.67,0,7.24
 60-70,0,0,0,5.49,0,0,92.88,4.15,1.66,3.03,32.92,0,0,4.15,2.5,0.62,0,1.7,0,3.45,76.83,0,0.63,4.59,231.22,0.62,1.1,2.72,0,0,0,0,0,1.64,0,0,28.8,0,4.75,5.83,0,3.65
 72-82,0,1.81,0,5.04,1.01,0,67.82,2.34,2.04,1.39,32.45,2.13,0,0.81,1.63,0,0,0.68,0,7.24,109.42,0,7.97,2.17,186.95,0,0.56,0,0,0.83,0,0,0,0,0,0,24.99,0,0,30.42,5.8,6.37
 84-94,0,0,0,21.24,0,0,74.24,0,2.11,0,25.99,0,0,1.46,4.86,3.67,1.49,3.37,0,25.67,108.52,0,6.54,3.73,153.13,0.56,0,0,0,0,0,0,0,0.64,5.42,0,24.37,0,6.6,29.25,7.03,10.44
 96-106,0,0,0,10.01,0,0.84,60.23,1.05,0,3.77,38.38,1.82,0,2.06,2.53,0,1.32,8.31,2.65,4.93,71.18,0.74,3.92,9.11,110.15,0,0,1.73,0,5.2,0,0,0,0.87,0,0,0,0,0.92,24.55,0.88,3.33
108-118,0,1.34,0,12.17,0,0,51.27,0.46,4.54,1.82,27.45,0,0,0,3.54,0,8.6,2.13,2.33,19.15,75.22,0,13.74,2.33,117.09,0.61,0,2.46,0,2.44,0,0,0,1.38,0.66,0,11.73,1.01,3.26,27.29,0,6.46
120,0,1.37,0,6.28,4.79,0,44.92,0,1.65,2.41,26.47,3.85,0,1.15,15.91,0,0,9.79,6.57,7.95,58.78,1.05,4.76,0,328.35,0,0,2.2,0,0,1.55,0,0,0,0,0,4.66,0,3.74,18.51,8.22,0
