stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.21,857.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0,0
  5-6,19.31,556.97,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.91,0,3.51,0,0,0,47.38,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,181.92,0,0,0,56.71,5.88,16.11,0,0,0,0,0,0,0,0,0
 10-12,0,19.45,0,23.03,0,0,0,57.36,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,375.06,29.03,0,0,210.93,0,0,0,37.12,0,0,0,0,0,0,0
 14-21,0,0,0,6.63,60.75,13.39,0,53.35,0,0,0,3.92,1.29,5.61,0.84,0,2.13,0,0,0,0.88,19.44,0,0,17.8,299.52,6.41,0,0,3.36,6.18,0,52.67,0,39.65,29.47,0,0,1.76,0,2.2
 24-34,0,0,0,1.96,46.6,0.86,0,72.55,0,0.61,1.31,7.34,2.9,0,1.65,3.14,18.3,0.64,1.47,0,17.24,61.04,0.66,1.52,15.29,386.51,0.64,0,7.03,1,25.45,0.86,0,0,12.56,52.92,0,0,15.06,0,2.6
 36-46,0,0,0,0,23.22,0,0,22.75,0,3,0.63,6.38,1.18,0,1.32,0,0,0,1.42,2.11,38.16,26.91,0,1.44,8.49,161.19,5.95,11.28,0.69,0,36.05,1.56,0,2.9,0,26.52,0,0,5.7,0,8.87
 48-58,0,0,0,0,19.8,0,0,36.23,0,6.06,1.65,17.71,1.22,0,1.8,0,0,0.42,1.46,9.03,13.83,44.91,1.05,0,13.24,146.66,3.43,0,0.45,0,16.59,0,0,0,0,19.1,0,0,4.8,0,1.88
 60-70,0,0,0,5.58,5.31,0,0,40.54,0,0,2.29,28.23,8.2,0,0,0,1.37,1.15,0,9.74,8.4,43.28,1.43,0.89,8.74,129.47,0.71,0.89,3.84,0,35.84,0,0,0,0,17.92,0,1.33,0,0,11.37
 72-82,0,0,0.5,0,10.3,3.92,0,35.99,0,0,7.88,29.34,1.28,0,0,2.2,9.27,0,1.93,1.65,0,84.38,1.63,2.1,11.63,84.38,0.5,3.94,1.09,0,8.22,0,0,4.52,0,2.68,0,0.49,10.41,0,4.27
 84-94,0,0,0,0,13.74,0,0,27.19,0,1.23,1.42,23.01,11.07,0.71,0.98,9.77,3.53,1.34,2.83,0.68,1.19,71.41,2.46,14.5,9.75,46.07,1.28,1.38,0,0,31.16,0,0,5.29,0,7.58,1.8,3.01,17.41,0.62,0
 96-106,0,0,0,0,21.48,3.05,1.19,30.14,0,1.18,1.68,49.33,4.83,0,1.95,13.27,11.3,2.79,0,0.72,5.51,54.83,0,3.2,9.93,70.06,0,2.75,2.91,0,32.9,0.64,0,0,0,1.64,1.13,5.17,8.11,2.27,5.06
108-118,0,0,0.91,0,31.48,3.38,3.63,36.63,0.84,1.61,7.49,42.12,5.76,0,0,11.11,4.42,2.36,0,2.71,2.19,63.02,1.84,3.08,14.57,112.34,0,1.89,4.59,0,35.23,0.79,0,0.41,0,2.82,0.44,1.53,10.6,0.83,5.35
120,0,0,0,0,30.39,3.18,1.71,19.52,1.14,2.64,0,74.76,5.59,0,0,18.58,6.6,1.18,0,1.08,0,77.55,4.16,6.76,30.75,278.26,1.1,3.8,0,0,76.76,0,0,3.33,0,6.17,0,0,13.32,0,14.33
