stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.07,205.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.89,187.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.84,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.66,0,10.48,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,633.82,9.3,0,0,7.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.19,0,0,8.12,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,1.2,281.12,0,0,0.81,0.84,0,0,3.89,0,7.84,0,0,0,0,0
 24-34,0,0,0,0,2.67,0,0,1260.13,0,0,0,1,0,0,0,0.71,0,0,0,0,7.53,0,0,2.06,65.57,0,2.08,0,0,0,6.64,0,0,2.89,0,0,3.77,0,0
 36-46,0,0,0,0,0,0,0,3779.99,0,1.5,3.38,0,0,1.71,0,0,2.34,0,0,4.05,12.99,0,0,8.85,174.26,1.29,0,0,0,0,11.83,0,0,34.59,0,0,7.4,0,9.24
 48-58,0,0,0,0,5.9,0.45,0,4730.84,0.4,0,13.46,0,0,0,0,0,0,0,0.66,3.29,24.49,1.16,1.23,1.47,202.36,2.93,0.89,1.16,0,0,3.33,0,0.46,39.94,0,0.42,3.44,0,2.96
 60-70,0,0,0,0,1.76,0,0,6579.34,0,1.18,5.47,0,0,0,0,1.16,5.65,0,0,5.25,41.15,0,0.76,1.54,188.52,2.21,0,0,0,0.96,5.21,0,0,26.47,0,1.19,0.87,0,13.52
 72-82,0,0,0,0,7.88,6.63,0,6068.22,0,6.09,5.85,0,0,0,1.17,0.61,0,0,0,3.96,22.82,1.05,3.65,3.74,190.2,0,0,0,0,0,8.25,0,0,11.92,0,3.58,2.67,0,0
 84-94,0,0,1.62,0,0.58,0,0,7149.27,2.3,0,5.11,1.25,0,0,1.38,10.61,0,0,0,0,33.7,0,6.12,1.74,113.96,0,0,0,0,0,1.05,0,0,9.85,1.03,1.11,4.35,0.6,5.31
 96-106,0,0,0,0,1.82,20.02,25.99,5218.66,4.81,26,10.2,0,0,0,1.14,0.73,1.52,0,0,0,26.35,4.73,2.41,4.26,125.26,0,0,0,0,0,15.22,0,0,7.47,0.71,0,15.3,1.95,21.77
108-118,0,0,0,0,8.52,21.75,0,7375.06,1.68,6.71,20.34,7.14,0,1.61,0.44,0.54,8.69,3.13,0,0.91,63.75,0,6.16,2.24,167.9,2.66,5.43,0,0,0,11.49,0,0,5.1,1.13,4.06,6.75,1.37,7.66
120,0,0,0,0,14.3,4.21,0,6114.72,0,0,11.87,0,0,0,9.86,0,0,0,0,0,43.96,0,0,2.55,203.83,0,0,0,0,0,6.21,0,0,2.96,0,0,5.28,0,0
