stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.57,892.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.77,877.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,9.32,17.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.99,42.75,0,33.47,0,0,72.55,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,360.95,5.69,0,0,171.83,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,22.47,0,8.32,42.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643.24,82.73,0,0,229.85,0,5.55,0,3.68,0,0,5.09,0,0,0,0,0
 14-21,0,0,6.85,2.86,71.83,3.65,38.01,0,0,0,25.33,0,0,0,0.95,1.98,0,2.56,0,0,5.97,0,0,5.26,1751.43,0,97.38,31.2,0,0,3.89,7.79,0,0,4.77,932.55,0,0,2.35,0,0
 24-34,0,0,7.36,1.33,38.16,6.49,379.64,0,2.41,0.89,36.88,0,0,7.73,2.76,1.87,0,20.65,0,0,24.52,0.67,0,11,8962.24,2.27,223.44,48.72,0,5.34,0,0,0,3.34,3.36,2414.04,0,0,3.72,0,6.8
 36-46,0,0,2.69,0,26.21,1.17,1928.53,0,3.48,0.78,83.04,0,0,3.22,1.03,1.55,0,1.85,0,0,26.4,0,0,23.15,15090.92,4.02,118.13,31.6,0,6.59,0,0,8.46,0.61,0,4382.75,0,0,14.73,0,1.02
 48-58,1.15,0,0.74,0,49.94,1.88,3433.41,0,3.45,1.83,301.57,1.81,0.49,6.13,0,4.59,0,3.88,0,0,39.74,0,1.95,5.62,12633.41,1.88,57.21,32.77,0,20.13,0,0,0.59,0,0,3298.16,0,0,8.36,0,22.04
 60-70,0,0,2.88,0,32.15,11.67,3912.14,0.58,1.78,0,187.85,1.7,0,3.05,2.16,1.69,0,3.3,6.73,5.58,54.02,0,3.49,12.44,8296.84,5.48,20.3,25.59,0,6.82,0,0,5.23,2.58,0,1384.53,5.7,0,2.76,0,15.82
 72-82,0,0,11.92,0,48.36,29.29,3050.48,0.75,0,9.97,145.26,5.95,0,2.86,7.99,0.57,2.8,3.94,0.88,6.49,63.72,0,1.59,6.19,8091.67,2.6,49.84,28.57,0,8.62,1.65,0,5.15,0,0,928.98,18.71,3.79,7.08,2.33,23.83
 84-94,0,0,9.18,0,75.79,25.59,2547.66,0.88,1.82,0,137.89,17.09,0,1.44,4.54,1.9,9.33,7.64,0,0,86.57,0,3.3,1.97,5857.58,0,24.84,57.89,0,26.42,0,0,1.83,0,0,808.47,16.52,0.7,15.27,0,9.35
 96-106,0,0,6.63,0,52.08,86.15,1982.42,0.94,0,0,107.85,12.07,0,0.73,4.2,2.47,0,7.49,16.25,0,56.79,0,4.99,16.65,4399.86,0,25.79,51.96,0,17.64,0,0,0,0,0,248.24,15.26,11.54,14.91,2.75,18.14
108-118,0,0,7.18,0,54.36,25.58,2301.41,0,1.44,0.8,104.64,12.03,0,0.49,3.5,0.81,1.62,9.78,0.88,0,35.61,1.27,15.79,5.97,5468.29,1.74,26.87,39.63,0,2.38,0,0,3.15,0,0,194.67,20.52,0.5,3.81,0,0
120,0,0,11.35,0,58.54,8.4,1974.73,2.98,4.86,11.67,133.61,10.01,0,0,15,1.41,0,10.45,32.88,0,70.67,0,12.3,15.85,7204.84,18.64,31.68,53.29,0,3.35,0,0,10.15,1.63,0,175.69,8.41,0,3.36,0,0
