stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0
 14-21,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0
 24-34,1.86,0,0,0,0,0,0,0,0,0,0,0,0,9.9,2.63,0,0,0.61,0,0,0,3,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,1.13,0,0,0,0,5.68,0.63,0,0
 48-58,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,1.62,0,0.53,0
 60-70,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,1.17,0,0,0
 72-82,0,2.3,0,0,5.37,0,1.05,0,0,0,0.62,0,0,0.64,3.26,0,0,0,0,0,0,4.62,0.81,1.1,0
 84-94,0.61,0,0,1.99,0.81,0,0,0,0.69,0,3.19,0,0,0,10.66,0,0,0,0,0,0,2.88,0,1.36,0.82
 96-106,0,0,9.43,3.36,1.73,0,0,0,0,0,6.36,0,1.85,0,1.16,0,0,0,0,0,9.27,0,0,6.01,0
108-118,1.46,1.71,0,30.89,0,0.82,0,0,0,0.45,18.18,0.56,0,0,0.5,0,0,0,0,3.53,0.93,6.45,0,10.41,0
120,0,10.22,0,5.27,0,0,0,2.95,0,1.15,16.69,0,0,0,7.34,4.62,0,0,0,0,0,6.35,0,15.55,0
