stage,epidermis,eye,mesenchyme,muscle,neural,spinal_cord,vasculature
 24-34,0.82,0.61,6.98,1.36,28.34,2.44,0.81
 36-46,0,1.23,0,0,4.31,1.15,0
 48-58,0,2,0.38,0,0.95,0,0
 60-70,0,1.51,0,0,0,0,0
 72-82,0,0,0,0,4.57,0,3.2
 84-94,0,0,3.47,0,1.55,0,0
