stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,462.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0,0,0
  5-6,31.79,758.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.85,0,6.9,0,0,0,39.34,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,144.21,0,0,0,46.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.53,0,34.78,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.5,5.03,0,0,7.42,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.65,0.95,0,12.79,0,0,0,2.16,0,0,0,0,1.05,0,0,0,0,2.95,0,0,0,481.06,0,0,0,0,0,5,8.9,0.89,0,2.3,230.63,0,0,0,0,0
 24-34,0,0,0.81,0,8.81,1.89,0,59.56,0,1.14,0,12.07,0,0,0,0,0.8,0,0.79,0,1.19,13.6,0,0,10.37,2041.1,0.66,2.08,0,0,0,4.55,0,3.38,0,2.79,704.96,0,0,0.81,0,1.68
 36-46,0,0,0.85,0,0.72,0.76,0,45.91,0,7.53,2.07,75.14,0,0,0,16.22,0,0,0,0,6.63,5.91,0,0,1.56,3182.77,4.35,15.75,1.46,0,0,23.78,1.43,17.07,0.73,0,1044.83,0,0,0,0,13.68
 48-58,0,0,0.95,0,15.19,0,0,160.77,0,0,1.12,309.97,0,0,1.36,4.15,0,0,0.41,1.98,18.38,22.25,0.59,0,14.75,2935.08,1.29,4.51,6.8,0,0,15.57,0,0,0,0,971.26,0,0,2.43,0,15.81
 60-70,0,0,0.89,0,14.89,1.99,0,358.17,0,0,8.15,903.55,0.85,0,0,3.51,1.79,11.86,0.69,0,6.86,55.83,2.44,0,2.25,4052.53,0,4.44,7.35,0,7.62,16.04,0,1.72,1.94,0,1043.61,0,5.48,7.29,0.85,21.96
 72-82,0,0,0,0,28.93,8.44,0,633.17,0,4.54,10.06,908.21,0.7,0,0,2.66,0.78,9.57,1.86,0,18.33,72.06,0,6.18,5.11,5652.94,0,14.49,17.94,0,0,7.04,0,0.53,0,0,973.92,1.69,1.72,16.2,7.33,32.81
 84-94,0,0,4.66,0,19.7,16.84,4.7,638.08,0.68,1.02,5.03,695.92,1.03,0,2.41,0.95,2.82,8.99,0,0,29.42,130.51,0.89,2.06,2.13,4510.96,0.64,11.39,10.97,0,0,25.56,0,0,2.09,0,635.07,2.14,6.91,8.29,1.51,17.54
 96-106,0,0,0.9,0,43.64,49.36,0,779.2,5.07,1.19,9.5,747.33,5.68,0,0,13.55,1.89,3.29,10.16,18.23,9.94,143.4,0,0.62,6.54,4683.42,0,17.94,6.99,0,0,17.27,0,0.77,5.77,0,364.4,4.23,14.07,18.28,4.33,19.9
108-118,0,0,4.52,0.74,52.59,5.8,4.19,760.38,1.96,6.17,3.01,898.4,0.46,0,2.69,1.8,11.5,1.69,1.4,4.69,26.91,78.58,0,1.65,4.08,5810.11,0,13.95,17.99,0,6.11,10.59,0,0.94,0,0,392.45,1.35,10.89,5.18,2.8,6.25
120,0,0,0,0,37.21,13.83,5.15,860.42,37.52,1.16,0,1381.46,1.26,0,0,9.58,0,9.1,8.05,63.04,0,155.49,0,33.21,12.59,10776.83,6.68,15,44.98,0,0,1.12,0,1.74,0,0,659.53,1.53,4.32,12.75,0,0
