stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,3.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.88,0,0,0,7.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.12,0,25.12,0,0,0,2.73,0,0,0,0,0,0,0,0,4.81,0,0,8.7,948.41,0,0,0,0,0,57.76,4.8,1.04,135.81,0,0,0,0
 24-34,0,0,7.6,17.25,0.82,38.41,0,0,0,27.64,0,1.21,0,0.59,0,2.62,3.01,2.18,18.76,0,0,5.28,2227,5.18,0,0,0,1.14,116.5,0,0.62,257,0,0,2.93,0
 36-46,0,0,4.59,7.16,0,53.75,0,24.15,0,225.86,0.56,1.44,0,0,0,2.71,1.94,0,14.94,1.99,0.6,1.25,1347.99,3.37,0,0.68,0,0,90.73,0.72,0,223.11,0,0,0,0
 48-58,0,0,0.9,14.49,0,24.71,0,8.57,0.67,269.87,3.91,1.34,0,0,0,2.73,0,0,32.83,0.53,0.4,0.63,350.82,0,0.39,7.55,0,0.73,85.62,0.4,0,122.37,0,0,0,0
 60-70,0,0,2.79,29.64,0,18.62,0,11.99,0,482.41,2.56,0,0.75,0,0,1.85,6.35,0,40.92,0,4.73,2.73,243.81,0,0.75,15.11,0,1.53,86.23,14.01,0,110.6,0,1.61,0,0
 72-82,0,0,0.79,33.64,0.77,26.05,0,10.08,0,613.5,5,0,0,0.67,0.77,1.56,0.96,0,96.56,0,5.78,2.03,183.05,0,0.74,18.24,0,1.84,69.4,1.94,0,56.66,0,2.84,0,3.19
 84-94,0,1.26,2.22,71.14,0,39.52,0,3.91,0,489.75,21.98,0,0,4.12,0.62,0.61,0.82,0,81.37,1.62,17.58,2.2,249.64,0,6.19,25.21,0,0,225.6,0,0,69.08,0.96,5.93,0,0
 96-106,0,0,0.64,99.47,0,55.26,0,1.54,1.21,638.89,38.61,0.72,1.08,1.98,0,1.25,0,0,101.98,3.2,2.55,0,163.8,0,4.8,21,0,9.66,159.01,0,0,50.37,2.8,0,0,0
108-118,0,1.54,2.51,119.24,0,37.15,0.65,7.24,0,589.97,17.67,0,0,3.5,0,0,6.29,1.1,135.68,0,6.55,6.66,204.89,0.43,3.14,27.27,0,3.67,106.31,4.25,0,42.52,4.37,0,0,0
120,0,0,3.17,73.65,0,37,0,10.93,0,723.84,11.38,0,0,5.49,0,0,0,0,82.26,7.73,20.47,1.49,226.19,0,8.05,31.39,0,0,108.57,0,0,21.27,3.51,1.32,0,8.22
