stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,7.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,0,0,0,0,0.84,0,0,3.02,0,0,2.08,0
 24-34,0,0,0.78,0,0,1.58,0,0,0,0,4.51,0,0,0,5.59,0,0,34.2,2.83,0,0,0.7,0,1.75,0,9.85,0,0,0,0
 36-46,0,0,0,1.9,0,2.76,0,0,1.47,0,0,9.59,0,0,6.43,0,0,85.15,3.3,0,0,4.61,0,0,0,25.59,0,0,0,0
 48-58,0,0,0,0,0,10.94,0,0,5.73,0,0,0,0,0,4.4,0,0,127.08,5.61,0,0,6.41,0,0,0.45,22.54,0,0,1.28,0
 60-70,0,0,2.23,0,0,127.33,0.86,0,6.77,0,0,0,1.78,0,26.46,0,0,289.55,14.98,0.94,0,0,0,0,0,29.91,0,0,3.29,0
 72-82,0,0,5.76,0.88,0,248.18,0.55,0,6.54,0,0,0,0,3.96,10.98,0,0,346.72,4.06,1.58,0,4.03,0,0,0,42.62,0,0,8.7,0
 84-94,0,0,0,0,0,144.66,0,0,5.62,0,0,1.22,0,0,1.25,0.63,1.37,261.99,4.45,0.92,0,0,0,0,0,33.66,0,0.69,1.63,0
 96-106,0,0,3.16,0,2.87,395.25,0,0,8.92,2.9,0,1.06,0,0,5.85,0,1.2,242.23,11.15,0,0,4.05,0,0,0,9.88,0.56,0,2.26,0.64
108-118,0,0,4.5,0,0,238.61,0,2.76,11.63,0,0,4.36,0,0.58,14.62,0,0,377.55,5.1,0.92,0,0.94,0,0,0,21.34,0,0,0,0
120,0,0,12.8,0,0,144.27,0,1.29,36.35,0,0,1.05,0,0,4.7,0,0,817.99,23.07,0,0,4.52,0,0,0,61.62,0,0,0,0
