stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.17,465.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0
  5-6,255.14,702.79,13.2,0,0,0,0,0,0,0,182.15,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,297.68,19.43,120.96,0,0,54.11,0,0,0,0,2477.9,0,0,0,0,0,0,0,0,0,0,0,506.09,234.18,0,0,157.42,0,0,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,15.17,60.09,0,14.23,19.79,0,0,0,0,553.14,0,0,0,0,0,0,0,0,0,0,0,963.84,179.18,0,0,270.34,0,0,0,0,47.11,0,0,10.08,0,0,0,0
 14-21,0,0,1.68,52.34,32.91,7.16,1,0,444.03,9.35,4.61,6.91,0,2.12,0,0.93,0,0,56.35,0,0,16.83,686.62,14.47,4.05,155.96,43,0,0,3.74,23.44,486.66,0.86,16.26,1455.01,0,1.21,0,0
 24-34,0,0,0,9.25,1.53,4.18,0,0.83,348.38,1.19,0,0,0,3.71,0,10.22,0,1.23,43.79,2.62,0,9.85,305.14,7.78,0.6,18.49,0,0,0.66,1.84,0,254.21,0,23.59,791.57,0,4.1,0,0
 36-46,0,0,0,8.07,2.39,6.51,0,6.71,172.28,0,0.59,5.94,0,0.56,6.61,1.41,0,0,22.93,0,0,20.94,323.3,1.77,15.2,10.52,0,0,0,0,0,122.06,1.1,0,364.7,1.04,0,0,3.09
 48-58,0,0,0,0.53,0,17.98,0,0,81.2,0,16.41,0.64,0,0.37,0,5.91,0,0,6.09,0.88,1.41,0.45,58.84,0,11.98,12.16,0,0,0,0,0,58.03,0,0,233.21,0.4,0.96,0,0
 60-70,0,0,0,0,0,23.02,0,0,81.06,0,13.16,0,0,0,0,15.87,0,0,4.11,1.14,0,0,35.77,0,15.97,9.06,0,0,0,0,0,30.33,1.01,0,127.91,0,0,0,0
 72-82,0,0,0,2.56,0,7.29,0,0.59,50.92,0,6.97,0,0,0,0,35.41,10.38,0.51,16.46,0,0,0,21.68,3.32,11.12,12.62,0,0,0.51,0,0,7.68,0,0,74.67,0,0.63,1.49,1.18
 84-94,0,0,3.2,1.65,0,7.56,0,0,67.96,0,3.67,0,0,1.34,4.17,36.55,0,0,0,0,1.84,0,29.73,1.46,35.72,59.95,0,4.92,0,0,0,32.83,0,0,88.6,0,2.33,0,0
 96-106,0,0,2.37,2.65,0,6.59,1.89,0.74,76.92,2.42,1.06,0,0,0,2.83,81.75,0,4.28,10.49,2.95,1.35,0,8.96,1.4,26.74,88.49,0,0,0,0,0,11.95,0,0,60.92,0,0.57,0,0
108-118,0,0,3.09,5.4,3.41,2.35,0,1.26,69.2,0.43,0,0,1,0,0.74,43.7,20.88,0,21.14,4.82,0,1.58,38.22,2.61,25.75,107.52,0,1.49,2.32,0,0,26.77,0,0,53.37,0,1.69,1.2,0
120,0,0,0,14.93,2.86,1.56,0,0,4.34,0,0,0,0,0,1.59,69.63,16.67,0,11.46,0,0,0,17.2,1.03,4.32,120.73,0,0,0,0,0,31.1,0,0,9.86,3.03,0,0,0
