stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0.95,0,0,13.96,0,0
 24-34,1.43,0,0,0.69,0,0,0,0,0,0,2.27,0,0,0.87,171.83,3.74,0,0.6,30.9,0.76,0
 36-46,0.94,0,0,13.9,0,0.82,6.87,0,0,0,3.83,0,0,3.75,307.09,1.08,0,0.83,64.7,0,0
 48-58,0,0,0,59.68,0,0,1.67,0,0,0,2.67,0,0,0,428.94,0,0,0,86.97,0,0.63
 60-70,0.63,0,0,113.09,0,0,10.31,0,0,0,1.55,0,0,2.3,359.75,1.23,7.61,0,31.83,0,0
 72-82,0,0.74,0,85.02,0,0.88,6.77,0,0,7.1,3.91,0,0.62,0,359.12,0,1.58,0,33.57,0,0
 84-94,9.11,7.21,0,38.25,0.68,0,3.03,0,0.65,0,2.68,1.01,0,0.86,290.78,1.13,4.45,0,18.4,0,0
 96-106,0,2.53,0,72.6,0,0,17.05,0.56,0.92,0,5.47,0,0,0,177.75,3.06,2.19,2.24,11.83,0,0
108-118,0,8.88,2.51,59.34,0,0,7.18,0.98,0,0,4.22,0,1.62,0,238.27,0,3.07,2.6,1.9,0,0
120,1.69,0,0,73.81,0,4.45,5.25,3.3,0,0,0,0,0,0,282.07,1.54,13.32,0,5.96,0,0
