stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.73,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,3.84,0.91,0,3.47,0,0,0,1.23,0.85,1.26,0,0.97,0,0,0,0,4.73,0,11.41,48.51,0,0,0,1.55,0,0,17.58,0,0.93,47.45,19.83,0,1.1,0,0
 24-34,0,0,0.59,0,0,0,6.96,0,0,0,2.08,0,4.24,0,0,1.32,0,0,0,15.64,0,4.81,74.34,0,2.53,0.9,0,0,1.87,0,2.89,0,3.43,6.83,0,0.94,0,0.69
 36-46,0,0,0,1.96,0.67,0,11.58,0,0,1.23,1.99,0,2.37,0,0,0,0,0,0,15.17,0,4.91,140.22,0,6.15,1.13,16.41,0,5.93,0,1.18,0,0,20.61,0,1.37,0,0
 48-58,0,0,0,0.38,0.41,0,20.29,0,0,0,13.9,0,0.88,0,0,0,0,0,0,17.14,0,3.39,121.41,0.39,1.08,0,0,0,12.42,0,0.92,0,0,18.16,0,4.84,0,0
 60-70,0,0,0,0,4.35,0,102.09,1.17,0,1.03,21.72,0,0.87,0,0,0,0,0,0,25.94,0,3.17,200.04,0.66,1.29,0,0,0,1.45,0,0.59,0,0,27.89,0,0.75,0,3.58
 72-82,0,0.54,0.56,0.71,87.79,0,24.79,0,0.69,0,4.48,0.53,0,0,1.73,0,0,0,0,20.29,0,0.72,86.83,0,0,0,0,0,3.23,0,4.12,0,0,8.54,0,0,0,0
 84-94,0,0,0,1.48,11.65,0,14.6,0,0,7.21,2.97,0.71,0.97,0.75,0,0,0,0,1.35,21.83,3.79,4.97,75.88,0,0,0.64,0,0,3.24,0,0,0,0,3.33,2.2,4.78,0,0
 96-106,0,0,0,2.97,77.14,0,35.45,0,0,0,11.29,1.72,2.45,0.58,0.58,0,0.75,0.63,1.5,17.84,2.06,5.58,77.36,0,0.6,1.04,0,0,5.87,0,0,0,0,1.32,1.51,4.51,3.66,2.94
108-118,0,0.71,0,3.92,46.46,0.95,22.27,2,0,0,19.01,0,0,1.23,0,2.03,0,0,0,20.89,0,2.15,90.68,1.22,0,1.19,0,5.55,5.99,0,0,0,0,0,0,3.16,0,0
120,0,0,0,5,20.93,0,38.22,1.61,0,1.85,22.97,1.29,0,4.39,0,4.78,0,0,0,47.82,0,6.64,197.58,0,0,0,0,0,9.2,0,1.04,0,0,11,0,17.96,8,0
