stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0,0,0,0,0,0,0,0,0,0
 10-12,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0.98,5.83,0,0,5.8,0.98,0,1.8,0,0,0,0
 24-34,0,0,4.57,1,0,0,0,0,0,0,4.35,0.76,0.68,0,0,0,9.19,0,1.04,0,0.66,6.62,0,0,6.27,0,1.32,0,4.7,0,0,0
 36-46,0,0,0,0.77,0,0,0,0,0,0,1.95,0,0,10.04,0,0,7.2,0,0,0,0,4.72,1.27,0,13.71,0,0,0,1.35,3.1,0,0
 48-58,0,0,0,0,0,0,11.32,0,0,6.38,6.22,0,0,0,0,0,0.79,0,0.94,0,0.39,25.52,0.65,0,18.82,0,2.28,0,1.75,0,0,0
 60-70,0,0,0,2.52,0,0,5.06,0,0,2.41,3.26,0,0,0,0,0,3.42,0,8.75,0,0,21.57,0,0,22.04,0,3.75,0,1.1,0,0,0
 72-82,0,0.78,0,0.58,8.35,0,14.75,0,0,1.74,9.83,1.5,0,0,2.49,1.06,24.23,0,3.92,0.81,0,29.84,0,2,18.25,0,3.12,0,2.31,0,0.58,9.62
 84-94,0,3.75,0,3.67,0,0,9.87,0,0,0,14.21,0,0,0,0,0,44.17,0,0.83,0,0,21.23,0,1.19,20.55,0,16.95,0,0,0,0,2.99
 96-106,0,2.93,0,4.15,0,0,5.56,0.72,0.64,4.68,51.84,0,0,0,0,1,41.82,0,7.01,0,0.61,37.64,3.47,1,23.15,0,12.37,0,4.62,2.32,0,0
108-118,0,5.27,0,6.25,1.09,0.81,4.54,0.45,0,3.34,79.48,0,0,0,1.48,0,120.63,0.47,6.44,0,3.51,33.85,0,0,29.41,0,21.75,0,2.77,0.57,0,7.81
120,0,7.45,0,12.88,3.22,0,13.5,0,0,6.44,123.24,0,4.8,1.4,0,0,69.18,0,0,0,5.93,63.84,0,0,22.73,0,37.3,0,0,0,0,8.31
