stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.01,429.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.17,0,0,0,0,0,0,0,0,0
  5-6,45.28,344.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,23.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,0,0,0,19.54,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,29.16,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.02,18.04,0,0,19.17,0,4.33,6.67,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.56,1.2,0,0.87,0,0,0,2.02,0,0,0,0,0.9,0,0,0,0,0,0,0,0,25.16,1.62,2.95,0,0,0,10.91,1.01,0,2.16,8.41,0,0,1.29,0,0
 24-34,0,0,0,0,6.83,2.9,0,7.58,0,0,0,1.52,0.82,0,2.95,0.98,6.96,0,0,0,3.34,3.82,1.03,0,0.78,93.09,0,3.72,0,0,0,41.42,1.58,0,0,17.3,0,0,5.22,0,3.99
 36-46,0,0,0,0,3.72,0,0,16.67,1.81,0.93,0.87,9.3,0.56,0,1.67,0,1.18,0,0,0,23.68,7.87,0,0,3.99,196.41,1.06,6.63,2.29,0,0,47.41,1.52,0,0,33.29,0,0,5.06,0,2.39
 48-58,0,0,0,0,8.52,1.35,0,29.34,3.69,4.06,0,18.15,0,0,0.52,3.25,6.78,0,0.5,0.39,19.82,19.44,0.99,0,8.71,127.72,1,4.02,0.48,0,0.79,44.83,12.8,0,0,28.36,0,0,3.67,0,12.07
 60-70,0,0,0,0,11.39,1.04,0,75.39,1.99,0.76,4.11,21.04,2.52,0,0.75,5.27,0.92,16.06,0,0,6.85,26.43,0.62,0,0.83,129.6,0,4.54,0.65,0,0.96,66.03,4.27,0,0,33.46,0,0,0.89,0,29.1
 72-82,0,0,1.32,0.56,8.84,12.85,0,99.5,2.79,1.55,7.41,55.78,5.16,0,0,9.14,0,2.08,1.88,0.72,2.61,90.63,12.61,1.84,2.57,125.77,1.53,5.8,4.67,0,0,27.77,5.19,0,0,15.02,3.89,0,9.94,1.95,16.04
 84-94,0,0,0,0,26.89,13.12,0.6,81.93,0,2.94,0,39.24,16.66,0.91,1.01,5.17,3.68,9.09,3.14,2.07,11.76,58.19,0.86,2.32,1.54,99.4,0,0,6.33,0,0,103.74,5.1,0,0,11.87,6.26,2.6,12.72,3.11,7.84
 96-106,0,0,1.9,0,31.8,6.81,1.14,98.38,0.57,2.45,3.74,56.59,10.15,0,2.2,15.82,5.34,3.04,2.16,1.08,2.77,66.23,3.29,1.22,0,110.56,0,13.75,11.96,0,5.27,84.23,5.6,0,0,14.47,0,0,12.05,6.54,16.52
108-118,0,0,3.31,0.74,23.05,3.14,12.93,64.05,1.9,5.65,2.36,66.46,16.25,0,0,6.5,4.83,26.38,4.11,5.96,9.93,57.54,6.15,0,2.61,112.34,1.22,12.71,16.65,0,1.49,69.76,2.01,0.42,0,20.78,3.67,0,4.74,0.72,1.44
120,0,0,2.94,0,42.67,0,0,83.08,0,1.23,0,63.62,15.87,0,0,17.12,10.15,30.99,8.21,2.27,7.08,62.04,4.71,0,1.46,229.99,10.25,17.16,35.2,0,0,64.46,4.99,0,0,8.39,3.63,0,7.38,0,4.77
