stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.76,5.76,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,81.57,30.35,0,0,19.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.71,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,11.53,0,0,55.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,4.92,2.66,0,0,0,0,1.13,0,0,0.84,0,0,0,0,0,28.42,0,0,7.09,24.02,0,0,0.86,0,0,0,2.92,0,4.09,0,1.97,0,0
 24-34,0,0,0,5.97,0.66,0,0,0,1.85,0,1.22,0,2.53,0,0,0.6,0,0,107.13,4.16,0,16.3,80.61,0,0,0.83,0,0,0.99,0,0,13.52,0,17.51,0,0
 36-46,0,0,0,4.88,0,5.07,0,0,1.42,1.25,0,0,3.68,0,0,1.59,0,0,255.52,0,3.67,23.88,150.91,0,0.93,0,0,0,0,0,0,27.69,0,7.72,0,0.72
 48-58,0,0,0,4,0.45,28.14,0,0,8.08,10.87,0,0,0,0,0,2.39,0.43,0,470.85,0,13.44,17.91,195.33,0,0,0,0,0,5.69,0,0,24.07,1.76,12.49,0,2.69
 60-70,0,0,0,0.88,0,32.92,0,0,26.33,17.77,0,0,1.85,0,0,13.77,0,0,570.38,0,6.57,9.78,94.83,0,0,0,0,2.33,1.32,0,0,18.5,9.9,12.95,1.44,0
 72-82,0,0,0,2.65,0,38.71,0.6,0,21.47,20.84,0,0,5.71,0,0,10.01,0,0,722.44,0,16.88,17.99,143.47,0,0,0.5,0,4.94,0,0,0,12.63,13.32,25.27,12.5,5.2
 84-94,0,0,0,3.1,0,49.21,0,5.09,3.68,20.61,0.59,0,9.05,4.84,0,9.29,0,0,581.85,0,18.59,20.13,56.74,0.62,1.53,0,0,1.68,0.8,0,0.74,3.75,3.18,27.88,8.14,2.42
 96-106,0,0,0,3.19,1.5,23.78,0,2.75,6.22,18.26,2.92,0,5.03,1.24,0,15.53,0,0,455.14,0,6.73,14.49,82.67,0,0,0,0,8.97,0.61,0,0,0,11.56,26.01,4.01,3.75
108-118,0,0,0,8.57,1.71,26.5,0,0.77,3.16,37.79,1.5,0,1.9,0,5.99,38.46,1.01,0.56,506.44,0,4.56,9.2,74.32,0,0,0,0,22.84,0,0,0,3.86,0,28.43,3.04,11.54
120,0,0,0,2.89,7.49,46.2,0,7.87,4.33,35.42,0,0,0,0,0,22.66,0,0,550.46,0,37.13,16.62,173.77,0,0,0,0,62.98,5.44,0,0,0,7.27,13.95,9.85,1.1
