stage,axial,blastomeres,endoderm,epidermis,eye,gut,heart,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,vasculature
  3-4,26.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,0,0,0,0,0,4.44,0,0
 24-34,0,0,0,0,0,0,0,0,2.9,0,1.88,0,0.76,0
 36-46,0,0,0,0,0.59,0,0,0,1.25,0,8.66,0,0,0.71
 48-58,0,0,0,0,0,0,0,0,0.76,0,28.68,0,0,0
 60-70,0,0,0,0,0.75,0.84,0,0,2.77,0,38.84,0,0,0
 72-82,0,0,0,0,4.01,0,0.66,1.49,0,0,52.75,0,0,0.51
 84-94,0,0,0,0,1.1,4.15,0,0.62,3.04,0,67.6,0,0,0
 96-106,0,0,0,1.65,6.18,0,0,0,3.95,1.84,38.18,0,0,0
108-118,0,0,0,0,0.54,0,0,0,0,0,66.95,0,0,0
120,0,0,0,1.68,3.63,2.01,0,0,0,0,54.71,0,0,0
