stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.23,3.84,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,70.11,0,0,8.37,0,0,0,0,0,0
 10-12,0,8.63,0,0,4.34,0,0,0,4.01,0,0,0,0,0,0,0,0,0,54.81,0,0,40.04,0,0,0,0,0,0
 14-21,0,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.22,0,20.87,0,0,0,0,0,0,0,0.77,0,0,0,0,0,12.41,0,0.73,0,0,2.31,0,0,0,0
 36-46,0,0,0,0,59.21,0,0,0,0,0,0,0,1.55,0,0.85,0,0,0,26.65,0,0,0,0,1.49,0,0,0,0.7
 48-58,0,0,0,0,208.75,0,0,6.47,0,0,0,0,7.95,0,0,0.39,0,0,48.96,0,0,0,0,3.4,0,0,0,6.82
 60-70,0,0,0,0,424.48,0,0,14.53,0,0,0,0,7.93,0,0,0.84,0,0,19.19,0,0,0,0,1.67,0,0,0,10.02
 72-82,0,0,1.75,0,652.32,0,9.12,33.56,0,0,0,0,1.19,0,0,11.15,0,0.82,40.92,0,0,0,0,0,0.57,0,0.52,0
 84-94,0,0,0,0,454.93,1.87,0,25.51,0,0,0.82,0.86,7.37,0,0,0.78,0,1.21,38.98,0.99,0,0,4.32,0,0,0.8,0,18.11
 96-106,0,0,2.36,0,513.98,0,0,50.75,0,0.58,0.81,0,9.17,5.55,5.9,8.57,5.07,2.43,23.22,2.47,0,0,6.57,2.34,1.57,0,0,1.89
108-118,0,0,3.96,1.94,378.36,1.45,0,47.29,0,0,0,0,33.57,0,0,3.05,0,0,27.86,1.39,0.48,0,0.83,0,0,0,0,0
120,0,0,0,0,213.95,0,0,26.62,0,0,0,0,13.1,0,0,2.49,0,1.49,44,0,0,0,17.79,0,0,7.48,0,0
