stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,141.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.41,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.45,0,0,14.48,0,0,0,0,0
 10-12,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,0,0,22.53,0,0,0,0,0
 14-21,0,0,1.1,0.82,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.83,0
 24-34,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,1.44,0,0.62,0,0,1.45,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,1.52,0,14.21,0.64,0.61,0,0,1.22,0.61,0,0
 48-58,0,0,0,0,0,0,2.26,0,0,0,0,0.4,0,0,1.01,0,0,10.52,0,0,0,0,0,0,3.4,0
 60-70,0,0,0,0,0,13.84,2.07,8.05,0,0,0,0,0,0,8.18,0,6.09,21.8,0,0,0,0,0.9,0,0,0
 72-82,0,0,0,0,0,4.95,0.5,4.39,0,0,0,0,0,0,5.79,0.72,0,34.14,0,0,0,0,0,0,0,0.51
 84-94,0,0,0,0,2.1,4.98,1.99,21.13,0,0,0,0,0,2.64,2.41,0,0.9,27.19,0,0,0,1.01,1.68,0,0,0
 96-106,0,0,0,1.74,0,9.13,9.39,4.23,1.2,0,0.83,0,0,0,3.68,2.25,2,22.2,0,0,1.2,0,0.9,0,0,0
108-118,0,0,0,0.7,0,2.29,2.75,8.77,1.63,0,0,0.67,1.43,0,2.67,0,0.68,14.78,0,0,0,0,0,0,0,0
120,0,0,0,0,0,9.48,9.2,12.17,1.68,0,0,0,0,0,0,0,4.95,28.06,0,7.32,0,0,0,0,0,0
