stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,1.38,12.94,137.53,48.65,0,73.74,0,0,10.84,1.95,0.92,0,0,8.26,0,0,0,86.1,1.71,0,69.61,771.92,62.1,3.01,9.97,12.55,54,64.32,7.23,6.11,43.42,111.6,3.32,0
 24-34,0,0,14.42,3.29,0,120.08,0,0,18.54,0,0,2.15,0.77,1.87,0.63,0.86,3.58,55.12,0.83,1.58,13.86,758.19,7.2,0.68,9.87,0,15.15,0,0,0,0.83,138.22,25.56,2.72
 36-46,0,0,6.66,7.72,0,247.8,0.58,2.33,13.96,0,0,0,0,0,1.02,0,0.85,44.04,0,0.68,9.24,562.63,2.55,2.8,0.85,0,3.23,0,5.17,0,0,93.52,5.09,0.61
 48-58,0,0,6.67,3.02,0,283.06,1.15,0,19.28,0,0,1.08,0,0,0,0,0,46.58,0,6.16,6.33,290.43,3.05,1.25,3.19,0,3.24,0,0,1.71,0,35.15,4.2,6.12
 60-70,0,0,4.92,4.03,0,240.58,0,2.04,19.25,0.62,0,0,0,0,1.34,0.98,0.87,58.32,0,1.87,3.29,206.58,8.04,0,0,0,0.67,0,4.67,0,0,9.91,1,0
 72-82,0,0,1.92,0,0,101.74,0,0,11.63,2.07,0,0.5,1.32,0,1.24,0,0,30.5,0,0.98,0.63,99.82,0,0,0,0,1.56,0,0,0,0,4.76,1.36,0
 84-94,0,0,2.69,2.64,0,53.41,0,0,12.61,2.37,0,0,2.43,1.2,1.13,0,2.2,22.6,0,1.79,5.48,81.61,1.86,2.63,0.87,0,2.95,0,0,0,0,0,2.4,0
 96-106,0,0,6.92,0,0,34.97,0,6.2,6.03,1.46,0,0,0.73,0,0,0,0,21.7,0,0.68,4.15,46.7,0,0,0,0,2.03,0,0,0,0,0,0.99,0
108-118,0,0,0.59,1.94,0,49.78,0,0,8.98,1.33,0,0,5.54,0,0,0,0,8.81,0,0.99,6.29,65.42,0,0,3.6,0,5.25,0,0,0.5,0,0.61,0.42,0
120,0,0,2.22,4.01,5.29,128.38,0,0,29.49,4.52,0,0,5.52,0,0,0,1.61,19.82,0,0,3.87,133.63,0,2.92,7.08,0,0,0,0,0,0,0,9.08,0
