stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.89,177.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0
  5-6,17.13,505.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.1,15.66,15.01,0,0,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.57,3.96,0,0,69.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.34,9.75,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.05,0,0,0,60.1,0,0,0,11.26,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,22.68,5.28,2.89,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,4.12,128.33,1.23,0,4.29,0,0,0,9.32,2.81,0,12.54,44.18,0,0,3.26,0,0
 24-34,0,0,0,5.31,0,8.16,0,2.23,0,4.95,0,0,1.26,0,0,0,0.63,18.98,0.66,0,10.52,201.34,0.76,0.68,4.3,0,0,6.03,0,0.84,1.54,1.62,41.75,0,0,6.59,0,0
 36-46,0,0,0,1.2,0,23.46,0,0,0.64,0,0,0.99,0.64,0,1.36,0,0,12.32,1.07,0,3.63,264.51,1.12,2.43,1.25,0,0,0.68,0,0,0,0,37.92,0,0,0.91,0,2.32
 48-58,0,0,0,4.84,0,46.55,0,0,2.46,8.03,0,0.67,0.85,0,0,0,0,14.9,0.39,0,2.22,334.47,4.29,1.44,0.41,0,0.46,9.96,0,0,0.46,0,57.95,0,0.44,0.63,0,0.62
 60-70,0,0,0,0,0,88.8,0,0,2.49,2.97,0,0,0,0,0,0.73,0,10.37,0,0.62,4.35,268.09,0,0.98,0.63,0,0,8.6,0,1.72,0,0,27.79,0,0,0,0.73,0
 72-82,0,0,0,1.9,0,103.5,0,0,0.69,15.32,1.28,0.75,0,0,0,1,0,14.21,0,0,2.71,229.52,0,3.3,1.04,0,0,1.33,0,0,0,0,34.35,0.74,1.32,3.86,0,0
 84-94,0,0,0,2.43,0,69.06,0,1.93,1.3,7.56,0,0,1.91,0,0,0.61,0,28.73,0,6.1,0,196.04,1.14,2.35,1.64,0,0,13.03,0,0,0,0,42.31,0.9,0,3.02,0,9.24
 96-106,0,0,0,1.58,0,50.43,0.62,0,0,22.34,0,0,0.95,0.63,2.73,2.32,0,28.87,2.23,0,4.09,139.62,0.6,4.47,1.77,0,1.45,6.83,0,0,0,0,8.36,0,0,0,0.97,0
108-118,0,0,0,3.82,1.06,24.92,0,0.43,0,8.08,0.44,0.68,1.07,0.55,2.26,0,0,12.52,0.54,4.99,0,153.14,0,0.46,1.33,0,0,9.04,0,0,0,0,2.18,0,0,1.68,0.57,0
120,0,0,0,6.11,0,35.46,0,0,0,13.64,0,0,0,0,0,0,0,9.38,0,0,0,232.27,0,4.06,7.45,0,0,4.7,0,2.61,0,0,12.7,0,0,0,0,0
