stage,eye,glial,mesenchyme,neural,olfactory
 24-34,0,0,0,2.4,0
 36-46,0,0.61,0,1.62,0
 48-58,0,0,0,0.77,0
 60-70,1.53,0,2.11,0,0
 72-82,1.18,0,0,6.04,1.48
 84-94,0,0,0.87,1.58,0
 96-106,0.99,0,0.74,0,0
