stage,blastomeres,endoderm,epidermis,erythrocytes,fin_epithelia,gut,immune,mesenchyme,mucous,mural_cell,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,15.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.65,5.47,0,0,0
 10-12,0,5.62,0,5.18,0,0,0,0,0,0,12.11,7.04,0,0,0
 14-21,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.93,0,0,1.16,0
 48-58,0,0,5.29,0,0,0,0,0,0,0,0,0,7.36,0,0
 60-70,0,0,0,0,0,0,0,1.15,0,0,6.59,0,2.59,0,0
 72-82,0,0,0,0,0,0,0,0.64,0,0,0.65,0,8.37,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.94,0,0,19.17,0,0
 96-106,0,0,0.61,0,0.9,0.74,0,0,0,0,0,0,26.64,0,0
108-118,0,0,1.6,0,0.48,0,0.44,0,0,0,0,0,35.83,0,0.73
120,0,0,0,0,0,1.02,0,0,3.51,0,0,0,38.76,0,0
