stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,183.67,2368.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,110.76,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.57,0,0,0,18.56,0,35.88,0,0,0,0,0,0,0,0,0,0
  7-9,9.23,41.61,0,28.89,0,0,0,118.18,0,0,0,0,21.72,0,0,0,0,0,0,0,0,0,0,0,796.53,20.52,0,0,293.76,0,0,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,45.67,0,67.21,0,18.6,0,86.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.29,42.9,0,0,353.74,0,0,5.55,4.56,57.91,0,15.44,0,0,0,0,0
 14-21,0,0,0,11.21,44.55,15.04,0,33.66,0,0,15.39,0.81,0,0,0,2.18,0,0,0,0,38.34,0,0,21.03,596.95,9.79,0,5.6,5.8,0,40.81,0,26.28,0,26.88,146.09,0,0,6.74,0,0
 24-34,0,0,0,1.29,19.69,1.91,0,101.11,1.04,0,23.07,0,0,1.45,1.36,1.26,0,1.09,0.76,0,52.63,0,0,18.28,814.18,0.63,8.08,6.36,0,0.99,51.69,0,0,2.51,3.04,141.67,0,0,16.94,0,1.18
 36-46,0,0,0,0,7.5,2.29,0,125.96,0,1.44,27.08,2.24,0,0,6.91,0,2.69,0,0,0,52.82,0.87,0.68,12.34,426.02,0,1.6,23.26,0,0,35.69,0,0,0,0,71.99,0,0,5.94,0,1.44
 48-58,0.39,0,0,0,17.12,0.44,0,159.52,1.03,2.69,43.93,1.55,0,0,1.08,2.75,0.46,0.89,2.97,1.17,64.9,0.57,1.65,14.26,233.42,0,1.44,6.06,0,0.56,3.44,0.65,0,0.46,0,25.58,0,0,17.23,0,8.33
 60-70,0,0,0,0,2.22,3.51,0,155.07,4.67,1.64,42.97,1.05,0,0,7.35,0,4.95,0,0.81,0,65.5,0,4.78,5.24,197.44,0,2.5,0.99,0,1.42,8.29,0,0,0.62,0,14.78,0,0.8,4.56,0,0
 72-82,0,0,0.69,0,9.07,5.64,0,86.59,0,4.2,26.73,2.52,0,0.5,0,0.61,0,0,2.91,0,70.89,1.05,5.83,12.45,156.4,0,14.08,9.38,0,0,13.84,0,0,0,0,14.93,0,0,9.15,1.89,6.61
 84-94,0,0,0,0,9.02,4.59,0,74.4,0,1.67,19.32,4.46,0,1.22,5.05,0.83,0,1.43,3.53,0,76.96,0,1.53,15.34,104.37,0,3.45,9.5,0,3.96,44.68,0,0,0.56,0,9.01,0.56,3.23,23.21,1.35,0
 96-106,0,0,0,0,19.39,3.18,0,36.86,2.11,1.93,20.73,5.19,0,5.43,6.1,0,0,0.67,0,0.68,65.6,1.15,2.55,16.09,104.78,1.17,9.1,8.78,0,0,52.46,0,0,0.67,0,4.67,4.64,1.21,19.24,0,0
108-118,0,0,0.94,1.34,38.66,0,0.91,68.85,4.12,1.36,39.37,4.36,0,0.47,5.47,0,2.11,0,1.75,0.76,54.25,0.75,2.45,2.04,131.04,0,2.4,1.93,0,5.65,28.55,0,0,0.42,0,5.13,0.44,0,9.98,0,5.4
120,0,0,1.37,0,34.07,3.12,0,63.82,0,0,24.73,6.59,0,0,13.89,0,3.81,4.65,4.81,0,58.43,1.46,0,5.97,184,0,4.4,0,0,8.71,12.4,0,0,1.14,0,14.04,0,0,20.24,6.37,0
