stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,melanocytes,mesenchyme,neural,spinal_cord,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,21.8,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.15,0,0
 36-46,3.02,0,0,0,0,0,0,0,0.96,3.93,0,0
 48-58,0,0,0,0,0,0,0,0,0.49,7.08,0,0
 60-70,0,0,0.6,0.87,0,0,0,0,0.96,12.34,0,0
 72-82,0,0,1.65,0,0,0,0.69,0,0.61,15.91,0.75,0
 84-94,0,1.3,0,0,0.86,0,0,0,0,7.32,0,0
 96-106,0,0,1,1.15,0,0,0,0,0,4.35,1.16,0
108-118,0.42,0.94,5.92,0,10.31,1.27,0,2.99,2.77,15.7,2.17,0
120,0,0,0,0,0,0,0,0,7.74,8.1,0,3.6
