stage,blastomeres,endoderm,fast_muscle,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
 10-12,12.04,3.2,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.91,1.65,0,0
 24-34,0,0,0,0.72,0,0,0,0.69,0
 36-46,0,0,0.73,0.72,0,0,0,0,0
 48-58,0,0,1.1,0.39,0,0,0,0,0
 60-70,0,0,0,0,1.71,0,0,0,1.06
 72-82,0,0,0,0,1.87,0,0,0,0
