stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,181.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,96.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.5,0,8.45,0,0,0,8.84,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,63.84,4.23,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.27,0,55.11,0,14.37,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.21,24.63,0,0,164.45,0,0,4.75,70.85,0,0,0,0,0,0,0
 14-21,0,0,0.9,16.09,5,0,2.85,0,0,0,7.33,5.35,0,2.57,0,0,0,0,1.59,0,40.48,0,0,12.83,82.91,1.94,0,0,0,0,0,12.55,1.46,8.33,22.47,0,0,9.11,0,0
 24-34,0,0,0,6.62,0.81,0,15.01,0,0.62,1.21,4.3,3.33,0,2.98,0,0.6,0,0,10.97,0,100.01,0,0,36.63,131.81,5.46,2.56,1.99,0,1.61,0,0,2.17,1.1,45.4,0,0,35.26,0,0
 36-46,0,0,0,13.45,0,0,6.53,0,0,0,2.35,0,0,0.99,0,0,0,0,1.21,5.56,68.31,0,7.35,1.57,85.17,1.29,0.57,2.08,0,0,1.29,0,0,0,30.08,0,0,19.23,0,0
 48-58,0,0,0,5.56,0,0,17.26,0,0,4.13,9.2,0.39,0,0,0,0,0,0,1.77,0,53.2,0.4,5.32,4.2,51.36,1.1,0,1.12,0,0.46,0,0,0,0,29.83,0,0,22.37,0,0
 60-70,0,0.57,0,2.17,0,0,19.88,0,1.18,0.98,26.02,0.83,5.24,1.42,0,0,0,1.13,5.72,0,36.32,0,0.64,2.33,79.58,0,0,2.93,0,1.65,0.77,0,0,0,21.32,0,0,11.09,0,0
 72-82,0,0.53,0,2.18,0,0,12.01,0.51,0,0,25.5,1.68,0,6.51,0,0,0,0,8.33,0,32.14,0,0,0.71,103.38,0,5.22,7.05,0,1.97,0,0,0,0,16.59,0,0,42.63,4.1,2.46
 84-94,0,0,0,0,0,1.17,41.42,0,1.69,1.45,31.81,2.61,0,3.67,2.21,0,0.66,0,0.58,0,23.04,2.15,0.72,0,50.26,0,0,4.03,0,0,4.4,0,1.01,0,12.65,0,1.83,36.17,6.2,0
 96-106,0,0,0,0,0,0,20.35,0,0,0,19.39,1.96,0,0.72,0,0,0,0,1.77,0,32.02,2.61,0,0.79,51.81,0,1.62,2.2,0,0,4.62,0,0,0,4.25,0,4.53,25.61,3.22,0
108-118,0,0,0,5.56,0,0.58,8.26,0.54,0.46,0.6,16.72,2.71,0,1.25,0,0,0,0,1.97,0,26.88,3.93,0,3.89,86.1,0,0.7,9.56,0,0.86,5.13,0,0.54,0,8.97,0,0,42.55,3.41,0.59
120,0,0,0,0,1.77,0,50.75,0,0,0,23.93,7.83,0,5.19,0,1.17,3.86,0,1.5,0,9.32,0,0,2.33,21.18,4.45,0,4.09,0,7.72,15.42,0,0,0,18.44,2.31,0,60.6,12.12,0
