stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,0,0,0,214.94,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0
 24-34,0,3.45,0,2.33,0,0,0,0,0,613.3,0,0,0,0.6,1.68,10.98,0,0,0,2.48,1.45,0,0,1.08,0,0,1.51,0,0
 36-46,0,3.51,26.91,0.62,0,0,0,0,0,989.12,0,0,0,2.06,0,44.93,0,0,0,0,0,0,0,9.69,0,0,0,0,3.49
 48-58,0,11.03,0.69,9.31,0.61,7.14,0,0.95,0,1140.76,0,0.4,1.49,1.08,0.64,12.88,0,0,0,5.62,0,0,0,6.82,0,0,0,0,7.85
 60-70,0,1.3,4.71,24.31,0,0,0,0.94,0,1417.48,0,0,0,5.08,0,35.18,0,0,0,0,0,0,0,5.84,0,0,0.79,0,0
 72-82,0,1.33,4.99,27.47,1.65,0,0,4.29,1.04,1463.24,0,0,0,10.7,0.73,45.87,0,0,0,0,0,1.5,0,1.09,0,0.91,1.47,1.37,10.63
 84-94,0,6.1,22.27,14.22,0,0,0,2.93,0.58,2119.98,0,0,0,16.9,0,18.25,0,0.77,0,3.25,0,0,0,1.07,0,0,0,0,0
 96-106,0,1.37,0,26.21,1.98,0,2.35,3.05,2.83,2239.48,0.86,0.79,7.3,11.94,0,36.04,0,2.03,1.45,2.91,0,0,0,12.25,0,0,1.13,0,0
108-118,0,4.17,1.98,12.82,0,0,0.94,0,0.91,1763.27,0.51,3.04,0,6.26,0,22.9,0,0,0,3.54,0,0,0,0,1.88,0,1.73,0,0
120,0,1.66,1.26,19.55,0,0,0,18.05,0,2377.57,0,0,0,20.61,0,31.72,2.47,0,0,0,0,0,0,0,0,0,3.79,0,0
