stage,endoderm,erythrocytes,eye,heart,mesenchyme
 10-12,6.93,0,0,0,0
 60-70,0,0.7,0,0,0
 72-82,0,2.56,0,0.66,0
 84-94,0,1.95,0,0,0
 96-106,0,0,1.7,0,1.16
120,0,21.4,0,0,0
