stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,43.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.51,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.41,484.05,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.38,7.94,0,0,34.18,0,405.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,69.72,38.5,307.81,0,19.91,151.11,0,0,0,0,0,196.6,0,0,0,0,0,0,0,0,0,0,0,802.51,9.85,0,0,791.99,0,90.81,4.57,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,37.16,190.01,0,45.56,341.44,0,0,0,0,0,77.74,0,0,0,0,0,0,0,0,0,0,0,2792,108.33,0,0,315.43,0,7.72,0,0,84.4,0,11.18,0,0,0,0,0,0
 14-21,0,0,5.15,204.98,71.46,10.59,0,0,0,18.95,13.5,0,33,0,6.81,0,2.05,0,0.86,70.59,1.19,0,52.57,256.14,41.75,24.87,6.23,4.51,0,13.97,0.91,33.99,0,105.41,139.92,256.18,0,0,14.1,0,0
 24-34,0,0,0,14.93,4.48,16.42,0.68,0,1.67,13.32,2.41,0,20.85,0.61,5.88,0,10.56,1.1,2.81,71.2,7.28,0,37.06,148.69,7.97,1.05,5.73,0,0,12.66,0,0,1.38,13.15,20.19,216.51,0,0,58.49,0,7.84
 36-46,0,0,0,5.18,0,10.13,0,0.57,11.72,11.14,0.65,0,11.02,1.5,0.77,0,4.78,0,0,65.58,1.79,0.85,14.49,108.83,4.17,1.53,1.02,0,0,4.88,0,0,2.08,21.09,0,168.38,0,0,41.56,0,11.38
 48-58,0,0,0,11.02,0.45,46.47,3.41,14.51,6.21,9.23,0,0,5,0.37,0,1.17,0.9,6.27,0,105.24,7.21,1.08,10.5,75.9,2.12,2.07,0.7,0,0,7.66,0,0,0,4.21,0,110.58,0,0,11.84,0.9,1.78
 60-70,0,0,0,8.04,0.75,46.24,0,0,7.18,18.93,0,0,10.84,6.44,4.83,2.89,0.63,0,0,173.37,11.14,0,2.15,109.59,0,0,0.89,0,0,6.08,0,0,0,3.43,0,16.49,0.73,1.4,0.57,0,4.63
 72-82,0,0,0,9.04,9.36,55.27,0.76,2.07,10.97,24.98,1.5,0,6.87,0.95,1.66,0.79,0.92,3.73,0,264.61,7.38,0.51,9.85,80.73,2.83,0.75,0.51,0,2.23,3.63,0,0,0,0,0,4.14,0,0.77,13.1,6.85,0
 84-94,0.62,0,0,15.27,1.22,35.94,2.64,1.19,8.84,11.69,7.65,0,4.91,2.56,6.41,18.75,2.01,0,0,172.38,12.04,2.99,0.87,128.63,1.28,0,0,0,0,5.85,0,0,0,2.08,0,4.97,0.66,1.52,11.44,2.98,8.08
 96-106,0,0,0,16.42,0,28.86,0,0,2.25,21.83,4.92,0,13.31,1.58,5.5,5.84,0,0,0,195.47,19.52,3.98,12.02,70.34,0,1.08,0.77,0,1.6,2.65,0,0,0.7,1.28,0,4.07,2.85,3.09,6.82,2.8,0
108-118,0,0,0,34.57,0.73,52.69,0.98,0.45,12.57,10.78,20.68,0,4.14,7.92,13.91,9.88,0,0,0,213.12,9.67,2.26,7.4,74.18,1.24,0,1,0,0,8.68,0,0,0,0,0,4.45,1.76,2.91,3.5,3.32,2.12
120,0,0,0,28.42,0,48.38,0,0,3.16,14.78,29.24,0,15.23,7.75,24.05,4.83,0,0,0,291.91,40.76,0,12.27,71.22,0,0,0,0,0,18.76,0,0,3.93,0,0,3.82,0,0,0,8.22,0
