stage,blastomeres,epidermis,eye,glial,heart,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.97,0,0,14.3,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0
 24-34,0,0,0.63,0,0,0,0,0,18.19,0,0,0,0,0.79,13.56,0,0
 36-46,0,0,0,0,0,0,0,0.97,16.51,0,0,0,0,0,3.17,1.99,0
 48-58,0,0,4.98,2.66,0,0,1.93,0,31.45,0,0,0,0,1.1,2.11,0,0
 60-70,0,0.71,5.72,1.72,0,0,0,1.51,23.39,0,0.95,0,0,0,0,0,0
 72-82,0,0,2.14,1.38,0.89,0,0,2.8,14.61,0,1.46,0,0,0,0,0,1.08
 84-94,0,0,3.7,0,0,7.28,0,0,0,0,0,0,0,0,2.08,0,0
 96-106,0,0,0,5.7,0,0,0.71,0,12.05,0.75,0,0,0,0,0,0,0
108-118,0,0,3.3,4.24,0,0.48,0,4.22,0,0,0,0,0,1.91,8,0,0
120,0,0,0,0,0,0,0,0,26.32,0,0,0,0,0,4.36,0,0
